47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;;85429,74
47.11;RICAVI DA PRESTAZIONI;;85429,74
47.11.03;Prestazioni di servizi;;85429,74
55;ACQUISTI DI BENI;7071,04;
55.01;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;154,17;
55.01.05;Acquisti materiali di consumo;154,17;
55.03;ACQUISTI PER LA PRODUZIONE DI SERVIZI;4092,83;
55.03.01;Acq.beni materiali per produz. servizi;1167,86;
55.03.03;Acq.materiali di consumo (att.servizi);2924,97;
55.07;ACQUISTI DIVERSI;2824,04;
55.07.01;Acquisto beni strumentali inf.516,46;602,8;
55.07.01.01;Acquisto beni strument.inf.516,46 ded.;426,41;
55.07.01.03;Acq.beni strum.inf.516,46 tel.fissa/mob.;176,39;
55.07.03;Attrezzatura minuta;403,52;
55.07.17;Cancelleria varia;1817,72;
57;ACQUISTI DI SERVIZI;7177,81;
57.01;SERVIZI PER LA PRODUZIONE;3228,68;
57.01.51;Altri servizi per la produzione;3228,68;
57.01.51.03;Acq.servizi diversi (attiv.di servizi);3228,68;
57.03;COSTI ACCESSORI PER VENDITE;135,24;
57.03.01;Trasporti su vendite;135,24;
57.07;COSTI PER INTERMEDIAZIONE VENDITE;1300;
57.07.11;Altri costi di intermediazione;1300;
57.07.11.03;Altri costi di intermed.(attivit? serv.);1300;
57.09;COSTI PER UTENZE;333,89;
57.09.03;Spese telefoniche radiomobili;152,42;
57.09.07;Servizi telematici;151,2;
57.09.17;Acqua potabile;30,27;
57.13;MANUTENZIONE FABBRICATI;2180;
57.13.01;Spese manutenzione fabbricati;2180;
57.13.01.13;Spese manut.su immobili di terzi;2180;
61;PRESTAZIONI DI LAVORO NON DIPENDENTE;6857;
61.01;PRESTAZIONI DI LAVORO AUTONOMO;6857;
61.01.01;Consulenze amministrative e fiscali;450;
61.01.01.03;Consulenze ammin.e fiscali (ordinarie);450;
61.01.11;Consulenze/prestazioni diverse;5625;
61.01.11.01;Consulenze afferenti diverse;5625;
61.01.17;Altri costi per prestazioni di terzi;782;
61.01.17.03;Altri costi per prest.di terzi non affer.;782;
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;4697,99;
63.01;SPESE COMMERCIALI E DI VIAGGIO;2377,41;
63.01.09;Spese per alberghi e ristoranti;783,37;
63.01.09.03;Sp.alberghi,rist(rappr.con limite ricavi);783,37;
63.01.13;Spese di viaggio;1594,04;
63.03;SPESE DI RAPPRESENTANZA (ON.DIV.GEST.);974,03;
63.03.01;Spese di rappresentanza (on.gest.);974,03;
63.03.01.01;Sp.di rappr.ded.con lim.ricavi(on.gest.);974,03;
63.05;SPESE AMMINISTRATIVE E GENERALI;1346,55;
63.05.01;Spese postali;424,59;
63.05.07;Servizi contabili di terzi;921,96;
65;COSTI PER GODIMENTO BENI DI TERZI;8569,63;
65.01;GESTIONE IMMOBILI;8400;
65.01.05;Canoni locazione immobili;8400;
65.01.05.01;Canoni locazione immobili deducibili;8400;
65.05;LOCAZIONI E CANONI IMPIANTI E ATTREZZ.;38;
65.05.15;Canoni noleggio attrezzature;38;
65.07;CANONI E LICENZE SOFTWARE;131,63;
65.07.03;Licenze d'uso software non capitalizzati;131,63;
71;ONERI DIVERSI DI GESTIONE;561,07;
71.01;ONERI TRIBUTARI;188;
71.01.07;Imposta di registro e concess. govern.;188;
71.03;ALTRI COSTI DI ESERCIZIO;373,07;
71.03.01;Spese, perdite e sopravvenienze passive;0;
71.03.01.05;Spese, perdite e sopravv.passive inded.;0;
71.03.09;Cancelleria varia;373;
71.03.17;Arrotondamenti passivi diversi;0,07;
75;ONERI FINANZIARI;25,4;
75.01;ONERI FINANZIARI VERSO BANCHE;25,4;
75.01.07;Commissioni e spese bancarie;25,4;
75.03;ONERI FINANZIARI DIVERSI;0;
75.03.13;Interessi passivi versam.iva trimestrali;0;
80;AMMORTAMENTI;18,39;
80.03;AMMORTAMENTI IMMOBILIZZAZIONI MATERIALI;18,39;
80.03.35;Amm.to ordinario mobili e arredi;18,39;
