27;COSTI MAT.PRIME,SUSS.,CONSUMO,MERCI;2.565,69;
27 / 5;   ACQUISTI DIVERSI;2.565,69;
27 / 5 / 3;      Materie di consumo;145,80;
27 / 5 / 4;      Merci;655,00;
27 / 5 / 32;      Acquisti vari indeducibili;12,20;
27 / 5 / 34;      Acquisti vari deducibili;87,60;
27 / 5 / 35;      Materiali di consumo;1.665,09;
29;COSTI PER SERVIZI;11.789,64;
29 / 5;   COSTI PER SERVIZI (INDUSTRIALI);600,60;
29 / 5 / 11;      Energia elettrica uso industriale;563,10;
29 / 5 / 22;      Mater.e merci utilizz.produz.serv.;37,50;
29 / 15;   COSTI PER SERVIZI (GENERALI);11.189,04;
29 / 15 / 24;      Manut./ripar.su altri beni propri;113,00;
29 / 15 / 45;      Spese telefoniche (deducibili 80%);173,92;
29 / 15 / 47;      Spese bancarie;30,00;
29 / 15 / 53;      Servizi amministrativi e contabili;5.157,10;
29 / 15 / 54;      Servizi e prestazioni rese da prof;252,00;
29 / 15 / 55;      Spese per consulenza del lavoro;1.121,60;
29 / 15 / 64;      Servizi e spese di pulizia;540,00;
29 / 15 / 69;      Altre Spese condominiali ded.;62,00;
29 / 15 / 81;      Altre spese deducibili;96,00;
29 / 15 / 1005;      Servizi raccolta e smalt.rifiuti;515,00;
29 / 15 / 5001;      Servizi per somministraz. lavoro;3.128,42;
31;COSTI PER GODIMENTO BENI DI TERZI;5.028,39;
31 / 5;   LEASING,LOCAZIONI,NOLEGGI,LICENZE;5.028,39;
31 / 5 / 1;      Locazione stabilimenti;5.028,39;
33;COSTI PER IL PERSONALE;39.784,82;
33 / 5;   SALARI E STIPENDI;31.264,37;
33 / 5 / 3;      Salari operai;26.535,02;
33 / 5 / 1011;      Lavoro in somministrazione;4.729,35;
33 / 10;   ONERI SOCIALI;8.520,45;
33 / 10 / 1001;      Contributi dipendenti;8.520,45;
44;RICAVI DELLE VENDITE E DELLE PREST.;;51.597,00
44 / 15;   RICAVI DELLE PRESTAZIONI;;51.597,00
44 / 15 / 1;      Prestazioni di servizi Italia;;51.597,00
