27;COSTI MAT.PRIME,SUSS.,CONSUMO,MERCI;3.631,75;
27 / 5;   ACQUISTI DIVERSI;3.631,75;
27 / 5 / 3;      Materie di consumo;145,80;
27 / 5 / 4;      Merci;655,00;
27 / 5 / 20;      Indumenti di lavoro;74,50;
27 / 5 / 32;      Acquisti vari indeducibili;48,80;
27 / 5 / 34;      Acquisti vari deducibili;309,78;
27 / 5 / 35;      Materiali di consumo;2.397,87;
29;COSTI PER SERVIZI;23.019,70;
29 / 5;   COSTI PER SERVIZI (INDUSTRIALI);1.860,80;
29 / 5 / 11;      Energia elettrica uso industriale;1.729,16;
29 / 5 / 13;      Acqua e gas;94,14;
29 / 5 / 22;      Mater.e merci utilizz.produz.serv.;37,50;
29 / 15;   COSTI PER SERVIZI (GENERALI);21.158,90;
29 / 15 / 7;      Assicurazioni diverse;490,50;
29 / 15 / 24;      Manut./ripar.su altri beni propri;193,00;
29 / 15 / 45;      Spese telefoniche (deducibili 80%);804,42;
29 / 15 / 47;      Spese bancarie;61,62;
29 / 15 / 53;      Servizi amministrativi e contabili;7.193,14;
29 / 15 / 54;      Servizi e prestazioni rese da prof;738,52;
29 / 15 / 55;      Spese per consulenza del lavoro;3.132,00;
29 / 15 / 57;      Visite ed esami medici per dipend.;1.180,00;
29 / 15 / 64;      Servizi e spese di pulizia;540,00;
29 / 15 / 69;      Altre Spese condominiali ded.;857,81;
29 / 15 / 81;      Altre spese deducibili;345,00;
29 / 15 / 1003;      Servizi di sorveglianza;180,00;
29 / 15 / 1005;      Servizi raccolta e smalt.rifiuti;706,25;
29 / 15 / 5001;      Servizi per somministraz. lavoro;4.736,64;
31;COSTI PER GODIMENTO BENI DI TERZI;9.768,97;
31 / 5;   LEASING,LOCAZIONI,NOLEGGI,LICENZE;9.768,97;
31 / 5 / 1;      Locazione stabilimenti;9.768,97;
33;COSTI PER IL PERSONALE;110.893,27;
33 / 5;   SALARI E STIPENDI;78.024,23;
33 / 5 / 3;      Salari operai;66.032,02;
33 / 5 / 1011;      Lavoro in somministrazione;11.992,21;
33 / 10;   ONERI SOCIALI;32.869,04;
33 / 10 / 4;      Oneri sociali per operai;662,61;
33 / 10 / 1001;      Contributi dipendenti;32.206,43;
38;ONERI DIVERSI DI GESTIONE;410,00;
38 / 5;   ONERI DIVERSI DI GESTIONE;410,00;
38 / 5 / 9;      Imposta di registro;67,00;
38 / 5 / 11;      Tassa raccolta rifiuti;306,00;
38 / 5 / 24;      Valori bollati;37,00;
44;RICAVI DELLE VENDITE E DELLE PREST.;;137.179,00
44 / 15;   RICAVI DELLE PRESTAZIONI;;137.179,00
44 / 15 / 1;      Prestazioni di servizi Italia;;137.179,00
;;;
