27;COSTI MAT.PRIME,SUSS.,CONSUMO,MERCI;4.149,18;
27 / 5;   ACQUISTI DIVERSI;4.149,18;
27 / 5 / 20;      Indumenti di lavoro;71,30;
27 / 5 / 32;      Acquisti vari indeducibili;78,63;
27 / 5 / 34;      Acquisti vari deducibili;85,50;
27 / 5 / 35;      Materiali di consumo;3.913,75;
29;COSTI PER SERVIZI;13.150,59;
29 / 5;   COSTI PER SERVIZI (INDUSTRIALI);1.711,42;
29 / 5 / 11;      Energia elettrica uso industriale;1.269,33;
29 / 5 / 13;      Acqua e gas;367,09;
29 / 5 / 22;      Mater.e merci utilizz.produz.serv.;75,00;
29 / 15;   COSTI PER SERVIZI (GENERALI);11.439,17;
29 / 15 / 7;      Assicurazioni diverse;972,00;
29 / 15 / 24;      Manut./ripar.su altri beni propri;60,00;
29 / 15 / 45;      Spese telefoniche (deducibili 80%);709,66;
29 / 15 / 53;      Servizi amministrativi e contabili;2.775,91;
29 / 15 / 54;      Servizi e prestazioni rese da prof;756,00;
29 / 15 / 55;      Spese per consulenza del lavoro;1.675,06;
29 / 15 / 57;      Visite ed esami medici per dipend.;462,50;
29 / 15 / 64;      Servizi e spese di pulizia;300,00;
29 / 15 / 81;      Altre spese deducibili;364,00;
29 / 15 / 1003;      Servizi di sorveglianza;360,00;
29 / 15 / 1005;      Servizi raccolta e smalt.rifiuti;515,00;
29 / 15 / 5001;      Servizi per somministraz. lavoro;2.489,04;
31;COSTI PER GODIMENTO BENI DI TERZI;11.714,87;
31 / 5;   LEASING,LOCAZIONI,NOLEGGI,LICENZE;11.714,87;
31 / 5 / 1;      Locazione stabilimenti;11.714,87;
33;COSTI PER IL PERSONALE;206.146,56;
33 / 5;   SALARI E STIPENDI;150.967,83;
33 / 5 / 3;      Salari operai;140.627,43;
33 / 5 / 1011;      Lavoro in somministrazione;10.340,40;
33 / 10;   ONERI SOCIALI;43.337,62;
33 / 10 / 4;      Oneri sociali per operai;506,21;
33 / 10 / 1001;      Contributi dipendenti;42.831,41;
33 / 15;   TRATTAMENTO DI FINE RAPPORTO;10.936,34;
33 / 15 / 6;      TFR corrisposto ad altri dipendent;10.936,34;
33 / 20;   TRATTAMENTO DI QUIESCENZA E SIMILI;270,98;
33 / 20 / 1;      Contributi a forme pens.complement;270,98;
33 / 25;   ALTRI COSTI;633,79;
33 / 25 / 99;      Altri costi del personale;633,79;
35;AMMORTAMENTI E SVALUTAZIONI;4.382,79;
35 / 5;   AMMORTAMENTO IMMOBILIZZ.IMMATERIALI;799,82;
35 / 5 / 22;      Amm.ampl./ammod.altri beni di terz;799,82;
35 / 10;   AMMORTAMENTO IMMOBILIZZ.MATERIALI;3.582,97;
35 / 10 / 8;      Amm.macchinari;1.623,37;
35 / 10 / 10;      Amm.attrezzatura varia e minuta;743,01;
35 / 10 / 11;      Amm.mobili e macch.ordin.d'ufficio;823,50;
35 / 10 / 12;      Amm.macchine ufficio elettroniche;119,29;
35 / 10 / 99;      Amm. altri beni materiali;273,80;
38;ONERI DIVERSI DI GESTIONE;180,50;
38 / 5;   ONERI DIVERSI DI GESTIONE;180,50;
38 / 5 / 9;      Imposta di registro;100,50;
38 / 5 / 11;      Tassa raccolta rifiuti;76,00;
38 / 5 / 24;      Valori bollati;4,00;
39;ONERI FINANZIARI;10,31;
39 / 5;   INTERESSI E ALTRI ONERI FINANZIARI;10,31;
39 / 5 / 13;      Interessi passivi di mora;10,31;
44;RICAVI DELLE VENDITE E DELLE PREST.;;260.521,80
44 / 15;   RICAVI DELLE PRESTAZIONI;;260.521,80
44 / 15 / 1;      Prestazioni di servizi Italia;;260.521,80
