47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;0,00;194694,69
    47.01;VENDITE PRODOTTI FINITI E MERCI;0,00;1730,65
        47.01.11;Aggio su beni di monopolio;0,00;1730,65
    47.07;CORRISPETTIVI;0,00;192964,04
        47.07.01;Corrispettivi;0,00;192964,04
53;ALTRI RICAVI E PROVENTI;0,00;0,00
    53.03;PLUSVAL.DA ALIENAZIONE CESPITI;0,00;0,00
        53.03.01;Plusvalenze da alienazione cespiti;35,00;0,00
            53.03.01.01;Plusv. da alienazione cespiti impon.;35,00;0,00
        53.03.03;Ricavi per cessione cespiti ammortizzati;-35,00;0,00
55;ACQUISTI DI BENI;82784,80;0,00
    55.01;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;1012,96;0,00
        55.01.07;Acquisti merci per la rivendita;237,00;0,00
        55.01.09;Confezioni e imballi;775,96;0,00
    55.03;ACQUISTI PER LA PRODUZIONE DI SERVIZI;81718,04;0,00
        55.03.01;Acq.beni materiali per produz. servizi;81629,73;0,00
        55.03.03;Acq.materiali di consumo (att.servizi);88,31;0,00
    55.07;ACQUISTI DIVERSI;53,80;0,00
        55.07.51;Materiale vario di consumo;53,80;0,00
57;ACQUISTI DI SERVIZI;9537,07;0,00
    57.01;SERVIZI PER LA PRODUZIONE;320,04;0,00
        57.01.51;Altri servizi per la produzione;320,04;0,00
            57.01.51.03;Acq.servizi diversi (attiv.di servizi);320,04;0,00
    57.09;COSTI PER UTENZE;8717,03;0,00
        57.09.01;Spese telefoniche ordinarie;930,16;0,00
            57.09.01.01;Spese telefoniche ordinarie;930,16;0,00
        57.09.07;Servizi telematici;273,49;0,00
        57.09.13;Energia elettrica;6952,26;0,00
            57.09.13.01;Energia elettrica;6952,26;0,00
        57.09.17;Acqua potabile;561,12;0,00
    57.11;MANUTENZIONI MACCHINARI E ATTREZZATURE;500,00;0,00
        57.11.01;Spese manut.impianti e macchin.propri;500,00;0,00
61;PRESTAZIONI DI LAVORO NON DIPENDENTE;171,57;0,00
    61.01;PRESTAZIONI DI LAVORO AUTONOMO;171,57;0,00
        61.01.11;Consulenze/prestazioni diverse;171,57;0,00
            61.01.11.01;Consulenze afferenti diverse;171,57;0,00
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;5635,69;0,00
    63.05;SPESE AMMINISTRATIVE E GENERALI;5635,69;0,00
        63.05.07;Servizi contabili di terzi;3987,55;0,00
        63.05.11;Altre spese amministrative;246,22;0,00
        63.05.13;Premi di assicurazioni non obbligatorie;825,52;0,00
            63.05.13.01;Premi di assicuraz.non obblig.deducibili;825,52;0,00
        63.05.17;Servizi di vigilanza;576,40;0,00
65;COSTI PER GODIMENTO BENI DI TERZI;9720,00;0,00
    65.01;GESTIONE IMMOBILI;9630,00;0,00
        65.01.05;Canoni locazione immobili;9630,00;0,00
            65.01.05.01;Canoni locazione immobili deducibili;9630,00;0,00
    65.05;LOCAZIONI E CANONI IMPIANTI E ATTREZZ.;90,00;0,00
        65.05.15;Canoni noleggio attrezzature;90,00;0,00
67;COSTI PERSONALE DIPENDENTE;20218,48;0,00
    67.01;COSTI PERSONALE DIPENDENTE;20218,48;0,00
        67.01.01;Retribuzioni lorde;15723,19;0,00
            67.01.01.01;Retribuzioni lorde dipendenti ordinari;15723,19;0,00
        67.01.03;Contributi INPS;4108,64;0,00
            67.01.03.01;Contributi INPS dipendenti ordinari;4108,64;0,00
        67.01.09;Contrib.altri enti previdenz./assistenz.;386,65;0,00
            67.01.09.01;Contrib.altri enti previd/ass.dip.ordin.;386,65;0,00
71;ONERI DIVERSI DI GESTIONE;3373,44;0,00
    71.01;ONERI TRIBUTARI;3373,44;0,00
        71.01.13;Tassa raccolta e smaltimento rifiuti;3002,00;0,00
        71.01.51;Altre imposte e tasse indirette;371,44;0,00
            71.01.51.01;Altre imposte e tasse indirette ded.;371,44;0,00
75;ONERI FINANZIARI;427,46;0,00
    75.01;ONERI FINANZIARI VERSO BANCHE;423,45;0,00
        75.01.07;Commissioni e spese bancarie;423,45;0,00
    75.03;ONERI FINANZIARI DIVERSI;4,01;0,00
        75.03.27;Interessi passivi di mora;4,01;0,00
            75.03.27.01;Inter.pass.di mora pagati (rilev.ROL);4,01;0,00
80;AMMORTAMENTI;13905,81;0,00
    80.01;AMMORTAMENTI IMMOBILIZZAZ.IMMATERIALI;12442,89;0,00
        80.01.19;Amm.to avviamento;10786,40;0,00
        80.01.27;Amm.to spese di manut.su beni di terzi;1656,49;0,00
    80.03;AMMORTAMENTI IMMOBILIZZAZIONI MATERIALI;1462,92;0,00
        80.03.29;Amm.to ordin.altri impianti e macchinari;324,74;0,00
        80.03.31;Amm.ord.attrez.spec.industr.comm.agric.;811,35;0,00
        80.03.33;Amm.to ordinario attrezz.varia e minuta;52,05;0,00
        80.03.35;Amm.to ordinario mobili e arredi;274,78;0,00
