47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;0,00;95803,21;
47.07;CORRISPETTIVI;0,00;95803,21;
47.07.01;Corrispettivi;0,00;95803,21;
53;ALTRI RICAVI E PROVENTI;0,00;12,77;
53.01;PROVENTI DIVERSI;0,00;12,77;
53.01.29;Arrotondamenti attivi diversi;0,00;12,77;
55;ACQUISTI DI BENI;7487,14;0,00;
55.01;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;7487,14;0,00;
55.01.05;Acquisti materiali di consumo;581,91;0,00;
55.01.07;Acquisti merci per la rivendita;6905,23;0,00;
57;ACQUISTI DI SERVIZI;4402,33;0,00;
57.01;SERVIZI PER LA PRODUZIONE;530,00;0,00;
57.01.51;Altri servizi per la produzione;530,00;0,00;
57.01.51.01;Altri servizi per la produzione;530,00;0,00;
57.05;COSTI ACCESSORI PER ACQUISTI;30,00;0,00;
57.05.01;Trasporti su acquisti;30,00;0,00;
57.05.01.01;Trasporti su acquisti;30,00;0,00;
57.09;COSTI PER UTENZE;3742,33;0,00;
57.09.01;Spese telefoniche ordinarie;333,74;0,00;
57.09.01.01;Spese telefoniche ordinarie;333,74;0,00;
57.09.13;Energia elettrica;3043,55;0,00;
57.09.13.01;Energia elettrica;3043,55;0,00;
57.09.15;Riscaldamento;132,44;0,00;
57.09.17;Acqua potabile;232,60;0,00;
57.13;MANUTENZIONE FABBRICATI;100,00;0,00;
57.13.01;Spese manutenzione fabbricati;100,00;0,00;
57.13.01.13;Spese manut.su immobili di terzi;100,00;0,00;
61;PRESTAZIONI DI LAVORO NON DIPENDENTE;12412,24;0,00;
61.05;COMPENSI ORGANI SOCIALI;12412,24;0,00;
61.05.01;Compensi amministratori;10500,00;0,00;
61.05.01.07;Compensi amministr.soci co.co.co SP;10500,00;0,00;
61.05.11;Contributi previdenziali amministratori;1680,00;0,00;
61.05.11.09;Contrib.previd.ammin.co.co.co soci SP.;1680,00;0,00;
61.05.15;Premi INAIL soci/titolari;232,24;0,00;
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;3277,25;0,00;
63.05;SPESE AMMINISTRATIVE E GENERALI;3277,25;0,00;
63.05.01;Spese postali;3,50;0,00;
63.05.07;Servizi contabili di terzi;2047,65;0,00;Centro imputazione non assegnato
63.05.11;Altre spese amministrative;151,88;0,00;
63.05.13;Premi di assicurazioni non obbligatorie;653,43;0,00;
63.05.13.01;Premi di assicuraz.non obblig.deducibili;653,43;0,00;
63.05.17;Servizi di vigilanza;150,00;0,00;
63.05.25;Assistenza software;270,79;0,00;
65;COSTI PER GODIMENTO BENI DI TERZI;26909,49;0,00;
65.01;GESTIONE IMMOBILI;26909,49;0,00;
65.01.05;Canoni locazione immobili;26705,49;0,00;
65.01.05.01;Canoni locazione immobili deducibili;26705,49;0,00;
65.01.07;Spese condominiali e varie;204,00;0,00;
65.01.07.01;Spese condominiali e varie deducibili;204,00;0,00;
67;COSTI PERSONALE DIPENDENTE;39042,48;0,00;
67.01;COSTI PERSONALE DIPENDENTE;39042,48;0,00;
67.01.01;Retribuzioni lorde;29692,01;0,00;
67.01.01.01;Retribuzioni lorde dipendenti ordinari;29692,01;0,00;
67.01.03;Contributi INPS;7246,99;0,00;
67.01.03.01;Contributi INPS dipendenti ordinari;7246,99;0,00;
67.01.07;Quote TFR dipendenti;66,72;0,00;
67.01.07.01;Quote TFR dipend.ordinari (in azienda);66,72;0,00;
67.01.09;Contrib.altri enti previdenz./assistenz.;262,80;0,00;
67.01.09.01;Contrib.altri enti previd/ass.dip.ordin.;262,80;0,00;
67.01.11;Premi INAIL;1773,96;0,00;
71;ONERI DIVERSI DI GESTIONE;123,71;0,00;
71.01;ONERI TRIBUTARI;81,50;0,00;
71.01.07;Imposta di registro e concess. govern.;81,50;0,00;
71.03;ALTRI COSTI DI ESERCIZIO;42,21;0,00;
71.03.11;Abbonamenti, libri e pubblicazioni;28,79;0,00;
71.03.17;Arrotondamenti passivi diversi;13,42;0,00;
75;ONERI FINANZIARI;223,30;0,00;
75.01;ONERI FINANZIARI VERSO BANCHE;223,30;0,00;
75.01.07;Commissioni e spese bancarie;223,30;0,00;
80;AMMORTAMENTI;2194,10;0,00;
80.01;AMMORTAMENTI IMMOBILIZZAZ.IMMATERIALI;639,91;0,00;
80.01.27;Amm.to spese di manut.su beni di terzi;639,91;0,00;
80.03;AMMORTAMENTI IMMOBILIZZAZIONI MATERIALI;1554,19;0,00;
80.03.19;Amm.to ordinario impianti elettrici;111,47;0,00;
80.03.23;Amm.to ordinario impianti specifici;310,80;0,00;Centro imputazione non assegnato
80.03.29;Amm.to ordin.altri impianti e macchinari;270,47;0,00;
80.03.35;Amm.to ordinario mobili e arredi;754,75;0,00;
80.03.39;Amm.ord.macchine d'ufficio elettroniche;79,77;0,00;
80.03.59;Amm.to ordinario altri beni materiali;26,93;0,00;
80.03.59.01;Amm.to ordinari altri beni mater.deduc.;26,93;0,00;
