27;COSTI MAT.PRIME,SUSS.,CONSUMO,MERCI;28.164,41;
27 / 5;   ACQUISTI DIVERSI;28.164,41;
27 / 5 / 1;      Materie prime;8.051,48;
27 / 5 / 4;      Merci;361,42;
27 / 5 / 13;      Carburanti/lubrificanti autocarri;819,67;
27 / 5 / 16;      Materiale di cancelleria;19,66;
27 / 5 / 34;      Acquisti vari deducibili;249,65;
27 / 5 / 35;      Materiali di consumo;58,11;
27 / 5 / 1005;      Mat.prime, di consumo e merci;18.604,42;
29;COSTI PER SERVIZI;5.335,60;
29 / 5;   COSTI PER SERVIZI (INDUSTRIALI);1.821,00;
29 / 5 / 7;      Lavorazioni esterne;1.821,00;
29 / 10;   COSTI PER SERVIZI (COMMERCIALI);400,99;
29 / 10 / 18;      Spese rappresentanza (ded. 75%);400,99;
29 / 15;   COSTI PER SERVIZI (GENERALI);3.113,61;
29 / 15 / 10;      Sp.viaggio,vitto,all.dipend.ded.75;272,91;
29 / 15 / 12;      Manut./ripar.autov.proprie ded.;73,77;
29 / 15 / 22;      Manut./ripar.autocarri propri;58,98;
29 / 15 / 24;      Manut./ripar.su altri beni propri;142,00;
29 / 15 / 30;      Pedaggi autostradali deducibili;225,40;
29 / 15 / 53;      Servizi amministrativi e contabili;1.839,13;
29 / 15 / 81;      Altre spese deducibili;501,42;
31;COSTI PER GODIMENTO BENI DI TERZI;49,20;
31 / 5;   LEASING,LOCAZIONI,NOLEGGI,LICENZE;49,20;
31 / 5 / 24;      Noleggi attrezzature ed altri beni;49,20;
44;RICAVI DELLE VENDITE E DELLE PREST.;;58.980,00
44 / 5;   RICAVI DELLE VENDITE ITALIA;;10.890,00
44 / 5 / 1;      Vendite prod.finiti e merci Italia;;10.890,00
44 / 15;   RICAVI DELLE PRESTAZIONI;;48.090,00
44 / 15 / 1;      Prestazioni di servizi Italia;;48.090,00
