47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;;23000,00
47.11;RICAVI DA PRESTAZIONI;;23000,00
47.11.03;Prestazioni di servizi;;23000,00
55;ACQUISTI DI BENI;1256,43;
55.03;ACQUISTI PER LA PRODUZIONE DI SERVIZI;673,54;
55.03.03;Acq.materiali di consumo (att.servizi);673,54;
55.07;ACQUISTI DIVERSI;582,89;
55.07.01;Acquisto beni strumentali inf.516,46;375,00;
55.07.01.01;Acquisto beni strument.inf.516,46 ded.;375,00;
55.07.17;Cancelleria varia;207,89;
57;ACQUISTI DI SERVIZI;1461,87;
57.01;SERVIZI PER LA PRODUZIONE;125,66;
57.01.51;Altri servizi per la produzione;125,66;
57.01.51.03;Acq.servizi diversi (attiv.di servizi);125,66;
57.03;COSTI ACCESSORI PER VENDITE;20,49;
57.03.01;Trasporti su vendite;20,49;
57.07;COSTI PER INTERMEDIAZIONE VENDITE;1300,00;
57.07.11;Altri costi di intermediazione;1300,00;
57.07.11.03;Altri costi di intermed.(attivit… serv.);1300,00;
57.09;COSTI PER UTENZE;15,72;
57.09.03;Spese telefoniche radiomobili;15,72;
61;PRESTAZIONI DI LAVORO NON DIPENDENTE;3750,00;
61.01;PRESTAZIONI DI LAVORO AUTONOMO;3750,00;
61.01.11;Consulenze/prestazioni diverse;3750,00;
61.01.11.01;Consulenze afferenti diverse;3750,00;
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;1716,45;
63.01;SPESE COMMERCIALI E DI VIAGGIO;731,40;
63.01.09;Spese per alberghi e ristoranti;587,50;
63.01.09.03;Sp.alberghi,rist(rappr.con limite ricavi);587,50;
63.01.13;Spese di viaggio;143,90;
63.03;SPESE DI RAPPRESENTANZA (ON.DIV.GEST.);695,06;
63.03.01;Spese di rappresentanza (on.gest.);695,06;
63.03.01.01;Sp.di rappr.ded.con lim.ricavi(on.gest.);695,06;
63.05;SPESE AMMINISTRATIVE E GENERALI;289,99;
63.05.01;Spese postali;289,99;
65;COSTI PER GODIMENTO BENI DI TERZI;12,00;
65.07;CANONI E LICENZE SOFTWARE;12,00;
65.07.03;Licenze d'uso software non capitalizzati;12,00;
71;ONERI DIVERSI DI GESTIONE;495,91;
71.01;ONERI TRIBUTARI;188,00;
71.01.07;Imposta di registro e concess. govern.;188,00;
71.03;ALTRI COSTI DI ESERCIZIO;307,91;
71.03.09;Cancelleria varia;307,91;
