47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;;1
55;ACQUISTI DI BENI;428,20;
55.07;ACQUISTI DIVERSI;428,20;
55.07.01;Acquisto beni strumentali inf.516,46;395,00;
55.07.01.01;Acquisto beni strument.inf.516,46 ded.;395,00;
55.07.17;Cancelleria varia;33,20;
61;PRESTAZIONI DI LAVORO NON DIPENDENTE;1875,00;
61.01;PRESTAZIONI DI LAVORO AUTONOMO;1875,00;
61.01.11;Consulenze/prestazioni diverse;1875,00;
61.01.11.01;Consulenze afferenti diverse;1875,00;
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;1001,60;
63.01;SPESE COMMERCIALI E DI VIAGGIO;105,00;
63.01.13;Spese di viaggio;105,00;
63.03;SPESE DI RAPPRESENTANZA (ON.DIV.GEST.);606,61;
63.03.01;Spese di rappresentanza (on.gest.);606,61;
63.03.01.01;Sp.di rappr.ded.con lim.ricavi(on.gest.);606,61;
63.05;SPESE AMMINISTRATIVE E GENERALI;289,99;
63.05.01;Spese postali;289,99;
