29;COSTI PER SERVIZI;756,03;
29 / 15;   COSTI PER SERVIZI (GENERALI);756,03;
29 / 15 / 10;      Sp.viaggio,vitto,all.dipend.ded.75;31,20;
29 / 15 / 53;      Servizi amministrativi e contabili;395,40;
29 / 15 / 85;      Spese convegni e corsi (ded. 100%);61,00;
29 / 15 / 94;      Manut./ripar.autov.proprie(ded.20%;117,43;
29 / 15 / 105;      Carbur./lubrific.autovett.(ded.20%;151,00;
44;RICAVI DELLE VENDITE E DELLE PREST.;;12.422,50
44 / 15;   RICAVI DELLE PRESTAZIONI;;12.422,50
44 / 15 / 1;      Prestazioni di servizi Italia;;12.422,50
47;ALTRI RICAVI E PROVENTI;;10,00
47 / 5;   ALTRI RICAVI E PROVENTI;;10,00
47 / 5 / 9;      Rimborso spese bolli;;10,00
