29;COSTI PER SERVIZI;1.327,95;
29 / 15;   COSTI PER SERVIZI (GENERALI);1.327,95;
29 / 15 / 10;      Sp.viaggio,vitto,all.dipend.ded.75;41,56;
29 / 15 / 53;      Servizi amministrativi e contabili;395,40;
29 / 15 / 85;      Spese convegni e corsi (ded. 100%);61,00;
29 / 15 / 94;      Manut./ripar.autov.proprie(ded.20%;294,40;
29 / 15 / 98;      Pedaggi autostradali (ded.20%);153,78;
29 / 15 / 105;      Carbur./lubrific.autovett.(ded.20%;381,81;
44;RICAVI DELLE VENDITE E DELLE PREST.;;17.522,50
44 / 15;   RICAVI DELLE PRESTAZIONI;;17.522,50
44 / 15 / 1;      Prestazioni di servizi Italia;;17.522,50
47;ALTRI RICAVI E PROVENTI;;16,00
47 / 5;   ALTRI RICAVI E PROVENTI;;16,00
47 / 5 / 9;      Rimborso spese bolli;;16,00
