47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;0,00;88131,39
47.01;VENDITE PRODOTTI FINITI E MERCI;0,00;742,00
47.01.11;Aggio su beni di monopolio;0,00;742,00
47.07;CORRISPETTIVI;0,00;87389,39
47.07.01;Corrispettivi;0,00;87389,39
55;ACQUISTI DI BENI;37648,45;0,00
55.01;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;59,27;0,00
55.01.09;Confezioni e imballi;56,96;0,00
55.01.19;Oneri accessori su acquisti;2,31;0,00
55.03;ACQUISTI PER LA PRODUZIONE DI SERVIZI;38137,50;0,00
55.03.01;Acq.beni materiali per produz. servizi;38045,12;0,00
55.03.03;Acq.materiali di consumo (att.servizi);92,38;0,00
55.05;VARIAZIONI ATTIVE SU ACQUISTI;-858,48;0,00
55.05.01;Sconti su acquisti;-858,48;0,00
55.07;ACQUISTI DIVERSI;310,16;0,00
55.07.03;Attrezzatura minuta;77,51;0,00
55.07.51;Materiale vario di consumo;232,65;0,00
57;ACQUISTI DI SERVIZI;2325,17;0,00
57.01;SERVIZI PER LA PRODUZIONE;166,68;0,00
57.01.51;Altri servizi per la produzione;166,68;0,00
57.09;COSTI PER UTENZE;2158,49;0,00
57.09.01;Spese telefoniche ordinarie;99,81;0,00
57.09.13;Energia elettrica;1723,80;0,00
57.09.17;Acqua potabile;334,88;0,00
61;PRESTAZIONI DI LAVORO NON DIPENDENTE;581,25;0,00
61.01;PRESTAZIONI DI LAVORO AUTONOMO;581,25;0,00
61.01.03;Consulenze tecniche;581,25;0,00
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;1517,06;0,00
63.05;SPESE AMMINISTRATIVE E GENERALI;1517,06;0,00
63.05.07;Servizi contabili di terzi;365,64;0,00
63.05.11;Altre spese amministrative;39,00;0,00
63.05.15;Premi di assicurazioni obbligatorie;854,76;0,00
63.05.17;Servizi di vigilanza;230,56;0,00
63.05.23;Valori bollati;27,10;0,00
65;COSTI PER GODIMENTO BENI DI TERZI;3897,00;0,00
65.01;GESTIONE IMMOBILI;3852,00;0,00
65.01.05;Canoni locazione immobili;3852,00;0,00
65.05;LOCAZIONI E CANONI IMPIANTI E ATTREZZ.;45,00;0,00
65.05.15;Canoni noleggio attrezzature;45,00;0,00
67;COSTI PERSONALE DIPENDENTE;13777,32;0,00
67.01;COSTI PERSONALE DIPENDENTE;13777,32;0,00
67.01.01;Retribuzioni lorde;10484,10;0,00
67.01.03;Contributi INPS;3193,50;0,00
67.01.09;Contrib.altri enti previdenz./assistenz.;99,72;0,00
71;ONERI DIVERSI DI GESTIONE;1560,71;0,00
71.01;ONERI TRIBUTARI;1169,03;0,00
71.01.07;Imposta di registro e concess. govern.;106,03;0,00
71.01.13;Tassa raccolta e smaltimento rifiuti;1063,00;0,00
71.03;ALTRI COSTI DI ESERCIZIO;391,68;0,00
71.03.11;Abbonamenti, libri e pubblicazioni;391,68;0,00
75;ONERI FINANZIARI;165,20;0,00
75.01;ONERI FINANZIARI VERSO BANCHE;165,20;0,00
75.01.07;Commissioni e spese bancarie;165,20;0,00
80;AMMORTAMENTI;4078,17;0,00
80.01;AMMORTAMENTI IMMOBILIZZAZ.IMMATERIALI;3736,18;0,00
80.01.19;Amm.to avviamento;3550,20;0,00
80.01.27;Amm.to spese di manut.su beni di terzi;117,29;0,00
80.01.53;Amm.to altre spese pluriennali;68,69;0,00
80.03;AMMORTAMENTI IMMOBILIZZAZIONI MATERIALI;341,99;0,00
80.03.29;Amm.to ordin.altri impianti e macchinari;128,18;0,00
80.03.31;Amm.ord.attrez.spec.industr.comm.agric.;136,21;0,00
80.03.35;Amm.to ordinario mobili e arredi;77,60;0,00
