47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;0,00;240688,64;
47.07;CORRISPETTIVI;0,00;240688,64;
47.07.01;Corrispettivi;0,00;240688,64;
53;ALTRI RICAVI E PROVENTI;0,00;35,24;
53.01;PROVENTI DIVERSI;0,00;35,24;
53.01.13;Rivalsa costi diversi;0,00;5,00;
53.01.29;Arrotondamenti attivi diversi;0,00;30,24;
55;ACQUISTI DI BENI;31288,10;0,00;
55.01;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;31288,10;0,00;
55.01.05;Acquisti materiali di consumo;2136,66;0,00;
55.01.07;Acquisti merci per la rivendita;29147,84;0,00;
55.01.19;Oneri accessori su acquisti;3,60;0,00;
57;ACQUISTI DI SERVIZI;9578,53;0,00;
57.01;SERVIZI PER LA PRODUZIONE;530,00;0,00;
57.01.51;Altri servizi per la produzione;530,00;0,00;
57.01.51.01;Altri servizi per la produzione;530,00;0,00;
57.05;COSTI ACCESSORI PER ACQUISTI;33,60;0,00;
57.05.01;Trasporti su acquisti;33,60;0,00;
57.05.01.01;Trasporti su acquisti;33,60;0,00;
57.09;COSTI PER UTENZE;7238,93;0,00;
57.09.01;Spese telefoniche ordinarie;513,75;0,00;
57.09.01.01;Spese telefoniche ordinarie;513,75;0,00;
57.09.13;Energia elettrica;5901,19;0,00;
57.09.13.01;Energia elettrica;5901,19;0,00;
57.09.15;Riscaldamento;132,44;0,00;
57.09.17;Acqua potabile;691,55;0,00;
57.11;MANUTENZIONI MACCHINARI E ATTREZZATURE;1676,00;0,00;
57.11.07;Altre spese manutenzione beni propri;1676,00;0,00;
57.11.07.01;Altre spese manutenzione beni propri;1676,00;0,00;
57.13;MANUTENZIONE FABBRICATI;100,00;0,00;
57.13.01;Spese manutenzione fabbricati;100,00;0,00;
57.13.01.13;Spese manut.su immobili di terzi;100,00;0,00;
61;PRESTAZIONI DI LAVORO NON DIPENDENTE;24592,24;0,00;
61.05;COMPENSI ORGANI SOCIALI;24592,24;0,00;
61.05.01;Compensi amministratori;21000,00;0,00;
61.05.01.07;Compensi amministr.soci co.co.co SP;21000,00;0,00;
61.05.11;Contributi previdenziali amministratori;3360,00;0,00;
61.05.11.09;Contrib.previd.ammin.co.co.co soci SP.;3360,00;0,00;Centro imputazione non assegnato
61.05.15;Premi INAIL soci/titolari;232,24;0,00;
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;7080,43;0,00;
63.05;SPESE AMMINISTRATIVE E GENERALI;7080,43;0,00;
63.05.01;Spese postali;6,50;0,00;
63.05.07;Servizi contabili di terzi;5018,33;0,00;
63.05.11;Altre spese amministrative;182,38;0,00;
63.05.13;Premi di assicurazioni non obbligatorie;653,43;0,00;
63.05.13.01;Premi di assicuraz.non obblig.deducibili;653,43;0,00;
63.05.17;Servizi di vigilanza;685,00;0,00;
63.05.23;Valori bollati;89,00;0,00;
63.05.25;Assistenza software;445,79;0,00;
65;COSTI PER GODIMENTO BENI DI TERZI;53308,98;0,00;
65.01;GESTIONE IMMOBILI;53250,98;0,00;
65.01.05;Canoni locazione immobili;52910,98;0,00;
65.01.05.01;Canoni locazione immobili deducibili;52910,98;0,00;
65.01.07;Spese condominiali e varie;340,00;0,00;
65.01.07.01;Spese condominiali e varie deducibili;340,00;0,00;
65.05;LOCAZIONI E CANONI IMPIANTI E ATTREZZ.;58,00;0,00;
65.05.15;Canoni noleggio attrezzature;58,00;0,00;
67;COSTI PERSONALE DIPENDENTE;71177,95;0,00;
67.01;COSTI PERSONALE DIPENDENTE;71177,95;0,00;
67.01.01;Retribuzioni lorde;55395,11;0,00;
67.01.01.01;Retribuzioni lorde dipendenti ordinari;55395,11;0,00;
67.01.03;Contributi INPS;13390,49;0,00;
67.01.03.01;Contributi INPS dipendenti ordinari;13390,49;0,00;
67.01.07;Quote TFR dipendenti;66,72;0,00;
67.01.07.01;Quote TFR dipend.ordinari (in azienda);66,72;0,00;
67.01.09;Contrib.altri enti previdenz./assistenz.;551,67;0,00;
67.01.09.01;Contrib.altri enti previd/ass.dip.ordin.;551,67;0,00;
67.01.11;Premi INAIL;1773,96;0,00;
71;ONERI DIVERSI DI GESTIONE;3367,59;0,00;
71.01;ONERI TRIBUTARI;3060,50;0,00;
71.01.04;IMU;908,00;0,00;
71.01.05;Diritti camerali;155,00;0,00;
71.01.07;Imposta di registro e concess. govern.;81,50;0,00;
71.01.13;Tassa raccolta e smaltimento rifiuti;1916,00;0,00;
71.03;ALTRI COSTI DI ESERCIZIO;307,09;0,00;Centro imputazione non assegnato
71.03.11;Abbonamenti, libri e pubblicazioni;277,49;0,00;
71.03.17;Arrotondamenti passivi diversi;29,60;0,00;
75;ONERI FINANZIARI;762,54;0,00;
75.01;ONERI FINANZIARI VERSO BANCHE;762,54;0,00;
75.01.07;Commissioni e spese bancarie;614,60;0,00;
75.01.17;Commissioni disponibilit… fondi;147,94;0,00;
80;AMMORTAMENTI;4416,05;0,00;
80.01;AMMORTAMENTI IMMOBILIZZAZ.IMMATERIALI;1287,62;0,00;
80.01.27;Amm.to spese di manut.su beni di terzi;1287,62;0,00;
80.03;AMMORTAMENTI IMMOBILIZZAZIONI MATERIALI;3128,43;0,00;
80.03.19;Amm.to ordinario impianti elettrici;222,95;0,00;
80.03.23;Amm.to ordinario impianti specifici;624,75;0,00;
80.03.29;Amm.to ordin.altri impianti e macchinari;544,50;0,00;
80.03.35;Amm.to ordinario mobili e arredi;1521,66;0,00;
80.03.39;Amm.ord.macchine d'ufficio elettroniche;160,50;0,00;
80.03.59;Amm.to ordinario altri beni materiali;54,07;0,00;
80.03.59.01;Amm.to ordinari altri beni mater.deduc.;54,07;0,00;
