27;COSTI MAT.PRIME,SUSS.,CONSUMO,MERCI;259,65;
27 / 5;   ACQUISTI DIVERSI;259,65;
27 / 5 / 34;      Acquisti vari deducibili;259,65;
29;COSTI PER SERVIZI;3.711,82;
29 / 15;   COSTI PER SERVIZI (GENERALI);3.711,82;
29 / 15 / 10;      Sp.viaggio,vitto,all.dipend.ded.75;87,53;
29 / 15 / 53;      Servizi amministrativi e contabili;1.388,42;
29 / 15 / 85;      Spese convegni e corsi (ded. 100%);61,00;
29 / 15 / 94;      Manut./ripar.autov.proprie(ded.20%;314,40;
29 / 15 / 98;      Pedaggi autostradali (ded.20%);521,63;
29 / 15 / 105;      Carbur./lubrific.autovett.(ded.20%;1.178,84;
29 / 15 / 1010;      Prestazioni Prof.Minimi/Forfetari;160,00;
44;RICAVI DELLE VENDITE E DELLE PREST.;;38.124,00
44 / 15;   RICAVI DELLE PRESTAZIONI;;38.124,00
44 / 15 / 1;      Prestazioni di servizi Italia;;38.124,00
47;ALTRI RICAVI E PROVENTI;;40,00
47 / 5;   ALTRI RICAVI E PROVENTI;;40,00
47 / 5 / 9;      Rimborso spese bolli;;40,00
