27;COSTI MAT.PRIME,SUSS.,CONSUMO,MERCI;279,64;
27 / 5;   ACQUISTI DIVERSI;279,64;
27 / 5 / 34;      Acquisti vari deducibili;279,64;
29;COSTI PER SERVIZI;4.879,06;
29 / 15;   COSTI PER SERVIZI (GENERALI);4.879,06;
29 / 15 / 10;      Sp.viaggio,vitto,all.dipend.ded.75;279,73;
29 / 15 / 53;      Servizi amministrativi e contabili;1.799,05;
29 / 15 / 85;      Spese convegni e corsi (ded. 100%);61,00;
29 / 15 / 94;      Manut./ripar.autov.proprie(ded.20%;314,40;
29 / 15 / 98;      Pedaggi autostradali (ded.20%);747,01;
29 / 15 / 105;      Carbur./lubrific.autovett.(ded.20%;1.517,87;
29 / 15 / 1010;      Prestazioni Prof.Minimi/Forfetari;160,00;
44;RICAVI DELLE VENDITE E DELLE PREST.;;63.523,50
44 / 15;   RICAVI DELLE PRESTAZIONI;;63.523,50
44 / 15 / 1;      Prestazioni di servizi Italia;;63.523,50
47;ALTRI RICAVI E PROVENTI;;60,00
47 / 5;   ALTRI RICAVI E PROVENTI;;60,00
47 / 5 / 9;      Rimborso spese bolli;;60,00
