47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;0,00;299007,23;
47.07;CORRISPETTIVI;0,00;299007,23;
47.07.01;Corrispettivi;0,00;299007,23;
53;ALTRI RICAVI E PROVENTI;0,00;39,10;
53.01;PROVENTI DIVERSI;0,00;39,10;
53.01.13;Rivalsa costi diversi;0,00;5,00;
53.01.29;Arrotondamenti attivi diversi;0,00;34,10;
55;ACQUISTI DI BENI;40328,90;0,00;
55.01;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;40328,90;0,00;
55.01.05;Acquisti materiali di consumo;2643,06;0,00;
55.01.07;Acquisti merci per la rivendita;37682,24;0,00;
55.01.19;Oneri accessori su acquisti;3,60;0,00;
57;ACQUISTI DI SERVIZI;10924,35;0,00;
57.01;SERVIZI PER LA PRODUZIONE;530,00;0,00;
57.01.51;Altri servizi per la produzione;530,00;0,00;
57.01.51.01;Altri servizi per la produzione;530,00;0,00;
57.05;COSTI ACCESSORI PER ACQUISTI;33,60;0,00;
57.05.01;Trasporti su acquisti;33,60;0,00;
57.05.01.01;Trasporti su acquisti;33,60;0,00;
57.09;COSTI PER UTENZE;8584,75;0,00;
57.09.01;Spese telefoniche ordinarie;513,75;0,00;
57.09.01.01;Spese telefoniche ordinarie;513,75;0,00;
57.09.13;Energia elettrica;6992,81;0,00;
57.09.13.01;Energia elettrica;6992,81;0,00;
57.09.15;Riscaldamento;137,82;0,00;
57.09.17;Acqua potabile;940,37;0,00;
57.11;MANUTENZIONI MACCHINARI E ATTREZZATURE;1676,00;0,00;
57.11.07;Altre spese manutenzione beni propri;1676,00;0,00;
57.11.07.01;Altre spese manutenzione beni propri;1676,00;0,00;
57.13;MANUTENZIONE FABBRICATI;100,00;0,00;
57.13.01;Spese manutenzione fabbricati;100,00;0,00;
57.13.01.13;Spese manut.su immobili di terzi;100,00;0,00;
61;PRESTAZIONI DI LAVORO NON DIPENDENTE;28652,24;0,00;
61.05;COMPENSI ORGANI SOCIALI;28652,24;0,00;
61.05.01;Compensi amministratori;24500,00;0,00;
61.05.01.07;Compensi amministr.soci co.co.co SP;24500,00;0,00;
61.05.11;Contributi previdenziali amministratori;3920,00;0,00;
61.05.11.09;Contrib.previd.ammin.co.co.co soci SP.;3920,00;0,00;Centro imputazione non assegnato
61.05.15;Premi INAIL soci/titolari;232,24;0,00;
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;8367,78;0,00;
63.05;SPESE AMMINISTRATIVE E GENERALI;8367,78;0,00;
63.05.01;Spese postali;10,00;0,00;
63.05.07;Servizi contabili di terzi;6028,68;0,00;
63.05.11;Altre spese amministrative;280,88;0,00;
63.05.13;Premi di assicurazioni non obbligatorie;653,43;0,00;
63.05.13.01;Premi di assicuraz.non obblig.deducibili;653,43;0,00;
63.05.17;Servizi di vigilanza;835,00;0,00;
63.05.23;Valori bollati;114,00;0,00;
63.05.25;Assistenza software;445,79;0,00;
