29;COSTI PER SERVIZI;207,38;
29 / 15;   COSTI PER SERVIZI (GENERALI);207,38;
29 / 15 / 45;      Spese telefoniche (deducibili 80%);30,00;
29 / 15 / 105;      Carbur./lubrific.autovett.(ded.20%;57,38;
29 / 15 / 1010;      Servizi e prest.rese da prof.Minim;120,00;
38;ONERI DIVERSI DI GESTIONE;7,58;
38 / 5;   ONERI DIVERSI DI GESTIONE;7,58;
38 / 5 / 17;      Altre imposte indeducibili;7,58;
44;RICAVI DELLE VENDITE E DELLE PREST.;;950,00
44 / 15;   RICAVI DELLE PRESTAZIONI;;950,00
44 / 15 / 1;      Prestazioni di servizi Italia;;950,00
