27;COSTI MAT.PRIME,SUSS.,CONSUMO,MERCI;990,71;
27 / 5;   ACQUISTI DIVERSI;990,71;
27 / 5 / 16;      Materiale di cancelleria;339,28;
27 / 5 / 34;      Acquisti vari deducibili;274,43;
27 / 5 / 35;      Materiali di consumo;377,00;
29;COSTI PER SERVIZI;1.725,47;
29 / 5;   COSTI PER SERVIZI (INDUSTRIALI);121,21;
29 / 5 / 19;      Energia elettrica;121,21;
29 / 15;   COSTI PER SERVIZI (GENERALI);1.604,26;
29 / 15 / 11;      Servizi vari commerciali;19,00;
29 / 15 / 45;      Spese telefoniche (deducibili 80%);178,23;
29 / 15 / 53;      Servizi amministrativi e contabili;808,48;
29 / 15 / 76;      Spese telef.e altre utenze ded.50%;251,25;
29 / 15 / 84;      Altre spese documentate inded.;6,00;
29 / 15 / 105;      Carbur./lubrific.autovett.(ded.20%;221,30;
29 / 15 / 1010;      Servizi e prest.rese da prof.Minim;120,00;
38;ONERI DIVERSI DI GESTIONE;146,86;
38 / 5;   ONERI DIVERSI DI GESTIONE;146,86;
38 / 5 / 17;      Altre imposte indeducibili;82,86;
38 / 5 / 24;      Valori bollati;64,00;
44;RICAVI DELLE VENDITE E DELLE PREST.;;7.182,79
44 / 15;   RICAVI DELLE PRESTAZIONI;;7.182,79
44 / 15 / 1;      Prestazioni di servizi Italia;;7.182,79
