27;COSTI MAT.PRIME,SUSS.,CONSUMO,MERCI;1.162,63;
27 / 5;   ACQUISTI DIVERSI;1.162,63;
27 / 5 / 16;      Materiale di cancelleria;431,33;
27 / 5 / 34;      Acquisti vari deducibili;354,30;
27 / 5 / 35;      Materiali di consumo;377,00;
29;COSTI PER SERVIZI;3.432,50;
29 / 5;   COSTI PER SERVIZI (INDUSTRIALI);277,15;
29 / 5 / 19;      Energia elettrica;277,15;
29 / 15;   COSTI PER SERVIZI (GENERALI);3.155,35;
29 / 15 / 11;      Servizi vari commerciali;19,00;
29 / 15 / 45;      Spese telefoniche (deducibili 80%);386,21;
29 / 15 / 53;      Servizi amministrativi e contabili;1.198,36;
29 / 15 / 76;      Spese telef.e altre utenze ded.50%;291,23;
29 / 15 / 84;      Altre spese documentate inded.;71,46;
29 / 15 / 105;      Carbur./lubrific.autovett.(ded.20%;566,09;
29 / 15 / 1010;      Servizi e prest.rese da prof.Minim;623,00;
38;ONERI DIVERSI DI GESTIONE;755,79;
38 / 5;   ONERI DIVERSI DI GESTIONE;755,79;
38 / 5 / 11;      Tassa raccolta rifiuti;41,50;
38 / 5 / 17;      Altre imposte indeducibili;139,29;
38 / 5 / 24;      Valori bollati;64,00;
38 / 5 / 44;      IMU immobili strument.(ded.20%);311,00;
38 / 5 / 1001;      Iscrizioni collegi e albi;200,00;
44;RICAVI DELLE VENDITE E DELLE PREST.;;20.035,28
44 / 15;   RICAVI DELLE PRESTAZIONI;;20.035,28
44 / 15 / 1;      Prestazioni di servizi Italia;;20.035,28
