27;COSTI MAT.PRIME,SUSS.,CONSUMO,MERCI;1.561,76;
27 / 5;   ACQUISTI DIVERSI;1.561,76;
27 / 5 / 16;      Materiale di cancelleria;18,36;
27 / 5 / 1005;      Mat.prime, di consumo e merci;1.543,40;
29;COSTI PER SERVIZI;1.504,74;
29 / 15;   COSTI PER SERVIZI (GENERALI);1.504,74;
29 / 15 / 22;      Manut./ripar.autocarri propri;853,27;
29 / 15 / 53;      Servizi amministrativi e contabili;394,80;
29 / 15 / 110;      Carburanti/lubrificanti autocarri;256,67;
44;RICAVI DELLE VENDITE E DELLE PREST.;;16.728,54
44 / 15;   RICAVI DELLE PRESTAZIONI;;16.728,54
44 / 15 / 1;      Prestazioni di servizi Italia;;16.728,54
