47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;0,00;444854,06;
47.07;CORRISPETTIVI;0,00;444854,06;
47.07.01;Corrispettivi;0,00;444854,06;
53;ALTRI RICAVI E PROVENTI;0,00;53,28;
53.01;PROVENTI DIVERSI;0,00;53,28;
53.01.13;Rivalsa costi diversi;0,00;5,00;
53.01.29;Arrotondamenti attivi diversi;0,00;48,28;
55;ACQUISTI DI BENI;69125,29;0,00;
55.01;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;69119,35;0,00;
55.01.05;Acquisti materiali di consumo;4119,87;0,00;
55.01.07;Acquisti merci per la rivendita;64995,88;0,00;
55.01.19;Oneri accessori su acquisti;3,60;0,00;
55.07;ACQUISTI DIVERSI;5,94;0,00;
55.07.03;Attrezzatura minuta;5,94;0,00;
57;ACQUISTI DI SERVIZI;15509,12;0,00;
57.01;SERVIZI PER LA PRODUZIONE;530,00;0,00;
57.01.51;Altri servizi per la produzione;530,00;0,00;
57.01.51.01;Altri servizi per la produzione;530,00;0,00;
57.05;COSTI ACCESSORI PER ACQUISTI;33,60;0,00;
57.05.01;Trasporti su acquisti;33,60;0,00;
57.05.01.01;Trasporti su acquisti;33,60;0,00;
57.09;COSTI PER UTENZE;12985,22;0,00;
57.09.01;Spese telefoniche ordinarie;935,68;0,00;
57.09.01.01;Spese telefoniche ordinarie;935,68;0,00;
57.09.13;Energia elettrica;10479,37;0,00;
57.09.13.01;Energia elettrica;10479,37;0,00;
57.09.15;Riscaldamento;137,82;0,00;
57.09.17;Acqua potabile;1432,35;0,00;
57.11;MANUTENZIONI MACCHINARI E ATTREZZATURE;1860,30;0,00;
57.11.07;Altre spese manutenzione beni propri;1676,00;0,00;
57.11.07.01;Altre spese manutenzione beni propri;1676,00;0,00;
57.11.15;Spese manut.impianti e macchin.di terzi;184,30;0,00;
57.13;MANUTENZIONE FABBRICATI;100,00;0,00;
57.13.01;Spese manutenzione fabbricati;100,00;0,00;
57.13.01.13;Spese manut.su immobili di terzi;100,00;0,00;
61;PRESTAZIONI DI LAVORO NON DIPENDENTE;40832,24;0,00;
61.05;COMPENSI ORGANI SOCIALI;40832,24;0,00;
61.05.01;Compensi amministratori;35000,00;0,00;Centro imputazione non assegnato
61.05.01.07;Compensi amministr.soci co.co.co SP;35000,00;0,00;
61.05.11;Contributi previdenziali amministratori;5600,00;0,00;
61.05.11.09;Contrib.previd.ammin.co.co.co soci SP.;5600,00;0,00;
61.05.15;Premi INAIL soci/titolari;232,24;0,00;
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;12599,64;0,00;
63.05;SPESE AMMINISTRATIVE E GENERALI;12599,64;0,00;
63.05.01;Spese postali;15,00;0,00;
63.05.07;Servizi contabili di terzi;9621,44;0,00;
63.05.11;Altre spese amministrative;439,98;0,00;
63.05.13;Premi di assicurazioni non obbligatorie;653,43;0,00;
63.05.13.01;Premi di assicuraz.non obblig.deducibili;653,43;0,00;
63.05.17;Servizi di vigilanza;1285,00;0,00;
63.05.23;Valori bollati;139,00;0,00;
63.05.25;Assistenza software;445,79;0,00;
65;COSTI PER GODIMENTO BENI DI TERZI;90691,62;0,00;
65.01;GESTIONE IMMOBILI;90575,62;0,00;
65.01.05;Canoni locazione immobili;89895,62;0,00;
65.01.05.01;Canoni locazione immobili deducibili;89895,62;0,00;
65.01.07;Spese condominiali e varie;680,00;0,00;
65.01.07.01;Spese condominiali e varie deducibili;680,00;0,00;
65.05;LOCAZIONI E CANONI IMPIANTI E ATTREZZ.;116,00;0,00;
65.05.15;Canoni noleggio attrezzature;116,00;0,00;
67;COSTI PERSONALE DIPENDENTE;117835,68;0,00;
67.01;COSTI PERSONALE DIPENDENTE;117835,68;0,00;
67.01.01;Retribuzioni lorde;92659,66;0,00;
67.01.01.01;Retribuzioni lorde dipendenti ordinari;92659,66;0,00;
67.01.03;Contributi INPS;22431,68;0,00;
67.01.03.01;Contributi INPS dipendenti ordinari;22431,68;0,00;
67.01.07;Quote TFR dipendenti;66,72;0,00;
67.01.07.01;Quote TFR dipend.ordinari (in azienda);66,72;0,00;
67.01.09;Contrib.altri enti previdenz./assistenz.;903,66;0,00;
67.01.09.01;Contrib.altri enti previd/ass.dip.ordin.;903,66;0,00;
67.01.11;Premi INAIL;1773,96;0,00;
71;ONERI DIVERSI DI GESTIONE;5527,04;0,00;
71.01;ONERI TRIBUTARI;5109,27;0,00;
71.01.04;IMU;908,00;0,00;
71.01.05;Diritti camerali;186,50;0,00;Centro imputazione non assegnato
71.01.07;Imposta di registro e concess. govern.;1097,50;0,00;
71.01.13;Tassa raccolta e smaltimento rifiuti;2878,00;0,00;
71.01.51;Altre imposte e tasse indirette;39,27;0,00;
71.01.51.01;Altre imposte e tasse indirette ded.;39,27;0,00;
71.03;ALTRI COSTI DI ESERCIZIO;417,77;0,00;
71.03.09;Cancelleria varia;94,04;0,00;
71.03.11;Abbonamenti, libri e pubblicazioni;277,49;0,00;
71.03.17;Arrotondamenti passivi diversi;46,24;0,00;
75;ONERI FINANZIARI;1585,67;0,00;
75.01;ONERI FINANZIARI VERSO BANCHE;1585,67;0,00;
75.01.07;Commissioni e spese bancarie;1136,92;0,00;
75.01.17;Commissioni disponibilit… fondi;448,75;0,00;
80;AMMORTAMENTI;7393,77;0,00;
80.01;AMMORTAMENTI IMMOBILIZZAZ.IMMATERIALI;2162,47;0,00;
80.01.27;Amm.to spese di manut.su beni di terzi;2162,47;0,00;
80.03;AMMORTAMENTI IMMOBILIZZAZIONI MATERIALI;5231,30;0,00;
80.03.19;Amm.to ordinario impianti elettrici;374,96;0,00;
80.03.23;Amm.to ordinario impianti specifici;1048,95;0,00;
80.03.29;Amm.to ordin.altri impianti e macchinari;819,71;0,00;
80.03.33;Amm.to ordinario attrezz.varia e minuta;74,83;0,00;
80.03.35;Amm.to ordinario mobili e arredi;2552,50;0,00;
80.03.39;Amm.ord.macchine d'ufficio elettroniche;269,56;0,00;
80.03.59;Amm.to ordinario altri beni materiali;90,79;0,00;
80.03.59.01;Amm.to ordinari altri beni mater.deduc.;90,79;0,00;
