29;COSTI PER SERVIZI;1.978,64;
29 / 15;   COSTI PER SERVIZI (GENERALI);1.978,64;
29 / 15 / 53;      Servizi amministrativi e contabili;1.160,06;
29 / 15 / 76;      Spese telef.e altre utenze ded.50%;211,32;
29 / 15 / 81;      Altre spese deducibili;328,90;
29 / 15 / 94;      Manut./ripar.autov.proprie(ded.20%;278,36;
44;RICAVI DELLE VENDITE E DELLE PREST.;;43.574,00
44 / 15;   RICAVI DELLE PRESTAZIONI;;43.574,00
44 / 15 / 1;      Prestazioni di servizi Italia;;42.574,00
44 / 15 / 2;      Prestazioni di servizi estero;;1.000,00
