29;COSTI PER SERVIZI;2.677,43;
29 / 15;   COSTI PER SERVIZI (GENERALI);2.677,43;
29 / 15 / 53;      Servizi amministrativi e contabili;1.722,80;
29 / 15 / 76;      Spese telef.e altre utenze ded.50%;243,37;
29 / 15 / 81;      Altre spese deducibili;432,90;
29 / 15 / 94;      Manut./ripar.autov.proprie(ded.20%;278,36;
44;RICAVI DELLE VENDITE E DELLE PREST.;;69.525,00
44 / 15;   RICAVI DELLE PRESTAZIONI;;69.525,00
44 / 15 / 1;      Prestazioni di servizi Italia;;68.525,00
44 / 15 / 2;      Prestazioni di servizi estero;;1.000,00
