47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;0,00;469001,79;
47.07;CORRISPETTIVI;0,00;469001,79;
47.07.01;Corrispettivi;0,00;469001,79;
53;ALTRI RICAVI E PROVENTI;0,00;56,42;
53.01;PROVENTI DIVERSI;0,00;56,42;
53.01.13;Rivalsa costi diversi;0,00;5,00;
53.01.29;Arrotondamenti attivi diversi;0,00;51,42;
55;ACQUISTI DI BENI;77150,65;0,00;
55.01;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;77144,71;0,00;
55.01.05;Acquisti materiali di consumo;4563,54;0,00;
55.01.07;Acquisti merci per la rivendita;72577,57;0,00;
55.01.19;Oneri accessori su acquisti;3,60;0,00;
55.07;ACQUISTI DIVERSI;5,94;0,00;
55.07.03;Attrezzatura minuta;5,94;0,00;
57;ACQUISTI DI SERVIZI;16538,38;0,00;
57.01;SERVIZI PER LA PRODUZIONE;530,00;0,00;
57.01.51;Altri servizi per la produzione;530,00;0,00;
57.01.51.01;Altri servizi per la produzione;530,00;0,00;
57.05;COSTI ACCESSORI PER ACQUISTI;33,60;0,00;
57.05.01;Trasporti su acquisti;33,60;0,00;
57.05.01.01;Trasporti su acquisti;33,60;0,00;
57.09;COSTI PER UTENZE;14014,48;0,00;
57.09.01;Spese telefoniche ordinarie;935,68;0,00;
57.09.01.01;Spese telefoniche ordinarie;935,68;0,00;
57.09.13;Energia elettrica;11376,25;0,00;
57.09.13.01;Energia elettrica;11376,25;0,00;
57.09.15;Riscaldamento;137,82;0,00;
57.09.17;Acqua potabile;1564,73;0,00;
57.11;MANUTENZIONI MACCHINARI E ATTREZZATURE;1860,30;0,00;
57.11.07;Altre spese manutenzione beni propri;1676,00;0,00;
57.11.07.01;Altre spese manutenzione beni propri;1676,00;0,00;
57.11.15;Spese manut.impianti e macchin.di terzi;184,30;0,00;
57.13;MANUTENZIONE FABBRICATI;100,00;0,00;
57.13.01;Spese manutenzione fabbricati;100,00;0,00;
57.13.01.13;Spese manut.su immobili di terzi;100,00;0,00;
61;PRESTAZIONI DI LAVORO NON DIPENDENTE;44892,24;0,00;
61.05;COMPENSI ORGANI SOCIALI;44892,24;0,00;
61.05.01;Compensi amministratori;38500,00;0,00;Centro imputazione non assegnato
61.05.01.07;Compensi amministr.soci co.co.co SP;38500,00;0,00;
61.05.11;Contributi previdenziali amministratori;6160,00;0,00;
61.05.11.09;Contrib.previd.ammin.co.co.co soci SP.;6160,00;0,00;
61.05.15;Premi INAIL soci/titolari;232,24;0,00;
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;13971,01;0,00;
63.05;SPESE AMMINISTRATIVE E GENERALI;13971,01;0,00;
63.05.01;Spese postali;18,50;0,00;
63.05.07;Servizi contabili di terzi;10839,03;0,00;
63.05.11;Altre spese amministrative;440,26;0,00;
63.05.13;Premi di assicurazioni non obbligatorie;653,43;0,00;
63.05.13.01;Premi di assicuraz.non obblig.deducibili;653,43;0,00;
63.05.17;Servizi di vigilanza;1435,00;0,00;
63.05.23;Valori bollati;139,00;0,00;
