29;COSTI PER SERVIZI;5.096,04;
29 / 15;   COSTI PER SERVIZI (GENERALI);5.096,04;
29 / 15 / 53;      Servizi amministrativi e contabili;2.308,29;
29 / 15 / 76;      Spese telef.e altre utenze ded.50%;278,59;
29 / 15 / 81;      Altre spese deducibili;440,80;
29 / 15 / 82;      Altre spese documentate (ded. 50%);1.790,00;
29 / 15 / 94;      Manut./ripar.autov.proprie(ded.20%;278,36;
44;RICAVI DELLE VENDITE E DELLE PREST.;;93.073,00
44 / 15;   RICAVI DELLE PRESTAZIONI;;93.073,00
44 / 15 / 1;      Prestazioni di servizi Italia;;92.073,00
44 / 15 / 2;      Prestazioni di servizi estero;;1.000,00
