29;COSTI PER SERVIZI;1.658,90;
29 / 15;   COSTI PER SERVIZI (GENERALI);1.658,90;
29 / 15 / 4;      Assicur.autovetture (ded. 80%);423,00;
29 / 15 / 45;      Spese telefoniche (deducibili 80%);20,00;
29 / 15 / 53;      Servizi amministrativi e contabili;985,90;
29 / 15 / 108;      Carbur./lubrific.autovett.(ded.80%;230,00;
38;ONERI DIVERSI DI GESTIONE;192,07;
38 / 5;   ONERI DIVERSI DI GESTIONE;192,07;
38 / 5 / 5;      Tasse di poss.autovett.(ded.80%);192,07;
44;RICAVI DELLE VENDITE E DELLE PREST.;;12.215,86
44 / 15;   RICAVI DELLE PRESTAZIONI;;12.215,86
44 / 15 / 3;      Provvigioni attive;;12.215,86
