29;COSTI PER SERVIZI;771,30;
29 / 5;   COSTI PER SERVIZI (INDUSTRIALI);92,52;
29 / 5 / 19;      Energia elettrica uso civile;92,52;
29 / 15;   COSTI PER SERVIZI (GENERALI);678,78;
29 / 15 / 7;      Assicurazioni diverse;231,34;
29 / 15 / 53;      Servizi amministrativi e contabili;447,44;
31;COSTI PER GODIMENTO BENI DI TERZI;352,00;
31 / 5;   LEASING,LOCAZIONI,NOLEGGI,LICENZE;352,00;
31 / 5 / 3;      Locazione uffici;352,00;
38;ONERI DIVERSI DI GESTIONE;56,00;
38 / 5;   ONERI DIVERSI DI GESTIONE;56,00;
38 / 5 / 11;      Tassa raccolta rifiuti;56,00;
44;RICAVI DELLE VENDITE E DELLE PREST.;;3.245,32
44 / 15;   RICAVI DELLE PRESTAZIONI;;3.245,32
44 / 15 / 3;      Provvigioni attive;;3.245,32
