47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;0,00;34839,53;
47.07;CORRISPETTIVI;0,00;34839,53;
47.07.01;Corrispettivi;0,00;34839,53;
53;ALTRI RICAVI E PROVENTI;0,00;1504,32;
53.01;PROVENTI DIVERSI;0,00;1504,32;
53.01.25;Contributi in base a contratto;0,00;1500,00;
53.01.29;Arrotondamenti attivi diversi;0,00;4,32;
55;ACQUISTI DI BENI;739,60;0,00;
55.01;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;739,60;0,00;
55.01.07;Acquisti merci per la rivendita;739,60;0,00;
57;ACQUISTI DI SERVIZI;0,00;541,66;
57.01;SERVIZI PER LA PRODUZIONE;0,00;530,00;
57.01.51;Altri servizi per la produzione;0,00;530,00;
57.01.51.01;Altri servizi per la produzione;0,00;530,00;
57.09;COSTI PER UTENZE;0,00;11,66;
57.09.01;Spese telefoniche ordinarie;0,00;11,66;
57.09.01.01;Spese telefoniche ordinarie;0,00;11,66;
61;PRESTAZIONI DI LAVORO NON DIPENDENTE;4060,00;0,00;
61.05;COMPENSI ORGANI SOCIALI;4060,00;0,00;
61.05.01;Compensi amministratori;3500,00;0,00;
61.05.01.07;Compensi amministr.soci co.co.co SP;3500,00;0,00;
61.05.11;Contributi previdenziali amministratori;560,00;0,00;
61.05.11.09;Contrib.previd.ammin.co.co.co soci SP.;560,00;0,00;
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;462,88;0,00;
63.05;SPESE AMMINISTRATIVE E GENERALI;462,88;0,00;
63.05.01;Spese postali;2,20;0,00;
63.05.11;Altre spese amministrative;120,00;0,00;
63.05.13;Premi di assicurazioni non obbligatorie;138,47;0,00;
63.05.13.01;Premi di assicuraz.non obblig.deducibili;138,47;0,00;
63.05.17;Servizi di vigilanza;150,00;0,00;
63.05.25;Assistenza software;52,21;0,00;
65;COSTI PER GODIMENTO BENI DI TERZI;601,21;0,00;
65.01;GESTIONE IMMOBILI;601,21;0,00;
65.01.05;Canoni locazione immobili;503,38;0,00;
65.01.05.01;Canoni locazione immobili deducibili;503,38;0,00;
65.01.07;Spese condominiali e varie;97,83;0,00;
65.01.07.01;Spese condominiali e varie deducibili;97,83;0,00;
67;COSTI PERSONALE DIPENDENTE;13236,06;0,00;Centro imputazione non assegnato
67.01;COSTI PERSONALE DIPENDENTE;13236,06;0,00;
67.01.01;Retribuzioni lorde;10569,80;0,00;
67.01.01.01;Retribuzioni lorde dipendenti ordinari;10569,80;0,00;
67.01.03;Contributi INPS;2579,25;0,00;
67.01.03.01;Contributi INPS dipendenti ordinari;2579,25;0,00;
67.01.09;Contrib.altri enti previdenz./assistenz.;87,01;0,00;
67.01.09.01;Contrib.altri enti previd/ass.dip.ordin.;87,01;0,00;
71;ONERI DIVERSI DI GESTIONE;33,20;0,00;
71.01;ONERI TRIBUTARI;30,00;0,00;
71.01.07;Imposta di registro e concess. govern.;30,00;0,00;
71.03;ALTRI COSTI DI ESERCIZIO;3,20;0,00;
71.03.17;Arrotondamenti passivi diversi;3,20;0,00;
75;ONERI FINANZIARI;8,03;0,00;
75.01;ONERI FINANZIARI VERSO BANCHE;8,03;0,00;
75.01.07;Commissioni e spese bancarie;8,03;0,00;
80;AMMORTAMENTI;1068,89;0,00;
80.01;AMMORTAMENTI IMMOBILIZZAZ.IMMATERIALI;220,66;0,00;
80.01.27;Amm.to spese di manut.su beni di terzi;220,66;0,00;
80.03;AMMORTAMENTI IMMOBILIZZAZIONI MATERIALI;848,23;0,00;
80.03.19;Amm.to ordinario impianti elettrici;76,57;0,00;
80.03.23;Amm.to ordinario impianti specifici;107,10;0,00;
80.03.29;Amm.to ordin.altri impianti e macchinari;95,32;0,00;
80.03.33;Amm.to ordinario attrezz.varia e minuta;15,27;0,00;
80.03.35;Amm.to ordinario mobili e arredi;517,20;0,00;
80.03.39;Amm.ord.macchine d'ufficio elettroniche;27,50;0,00;
80.03.59;Amm.to ordinario altri beni materiali;9,27;0,00;
80.03.59.01;Amm.to ordinari altri beni mater.deduc.;9,27;0,00;
