27;COSTI MAT.PRIME,SUSS.,CONSUMO,MERCI;127,08;
27 / 5;   ACQUISTI DIVERSI;127,08;
27 / 5 / 16;      Materiale di cancelleria;43,14;
27 / 5 / 30;      Acqu.beni inf. a 516,46 Euro ded.;55,72;
27 / 5 / 34;      Acquisti vari deducibili;28,22;
29;COSTI PER SERVIZI;3.797,97;
29 / 5;   COSTI PER SERVIZI (INDUSTRIALI);191,13;
29 / 5 / 19;      Energia elettrica;191,13;
29 / 15;   COSTI PER SERVIZI (GENERALI);3.606,84;
29 / 15 / 45;      Spese telefoniche (deducibili 80%);169,02;
29 / 15 / 53;      Servizi amministrativi e contabili;825,55;
29 / 15 / 54;      Servizi e prestazioni rese da prof;932,50;
29 / 15 / 72;      Spese manut.immob.uso prom. (50%);400,00;
29 / 15 / 76;      Spese telef.e altre utenze ded.50%;48,10;
29 / 15 / 81;      Altre spese deducibili;141,50;
29 / 15 / 85;      Spese convegni e corsi (ded. 100%);82,00;
29 / 15 / 92;      Assicur.autovetture (ded. 20%);633,00;
29 / 15 / 105;      Carbur./lubrific.autovett.(ded.20%;249,17;
29 / 15 / 1010;      Servizi e prest.rese da prof.Minim;126,00;
38;ONERI DIVERSI DI GESTIONE;246,88;
38 / 5;   ONERI DIVERSI DI GESTIONE;246,88;
38 / 5 / 17;      Altre imposte indeducibili;79,96;
38 / 5 / 24;      Valori bollati;16,00;
38 / 5 / 40;      Tasse di poss.autovett.(ded.20%);150,92;
44;RICAVI DELLE VENDITE E DELLE PREST.;;14.703,71
44 / 15;   RICAVI DELLE PRESTAZIONI;;14.703,71
44 / 15 / 1;      Prestazioni di servizi Italia;;14.703,71
