27;COSTI MAT.PRIME,SUSS.,CONSUMO,MERCI;127,08;;127,08;
27 / 5;   ACQUISTI DIVERSI;127,08;;127,08;
27 / 5 / 16;      Materiale di cancelleria;43,14;100,00%;43,14;
27 / 5 / 30;      Acqu.beni inf. a 516,46 Euro ded.;55,72;100,00%;55,72;
27 / 5 / 34;      Acquisti vari deducibili;28,22;100,00%;28,22;
29;COSTI PER SERVIZI;4.385,54;;3.361,31;
29 / 5;   COSTI PER SERVIZI (INDUSTRIALI);256,61;;256,61;
29 / 5 / 19;      Energia elettrica;256,61;100,00%;256,61;
29 / 15;   COSTI PER SERVIZI (GENERALI);4.128,93;;3.104,70;
29 / 15 / 45;      Spese telefoniche (deducibili 80%);206,07;80,00%;164,86;
29 / 15 / 53;      Servizi amministrativi e contabili;825,55;100,00%;825,55;
29 / 15 / 54;      Servizi e prestazioni rese da prof;932,50;100,00%;932,50;
29 / 15 / 72;      Spese manut.immob.uso prom. (50%);400,00;50,00%;200,00;
29 / 15 / 76;      Spese telef.e altre utenze ded.50%;48,10;50,00%;24,05;
29 / 15 / 81;      Altre spese deducibili;141,50;100,00%;141,50;
29 / 15 / 84;      Altre spese documentate inded.;5,99;;;
29 / 15 / 85;      Spese convegni e corsi (ded. 100%);82,00;;82,00;
29 / 15 / 92;      Assicur.autovetture (ded. 20%);633,00;20,00%;126,60;
29 / 15 / 105;      Carbur./lubrific.autovett.(ded.20%;308,22;20,00%;61,64;
29 / 15 / 1010;      Servizi e prest.rese da prof.Minim;546,00;100,00%;546,00;
38;ONERI DIVERSI DI GESTIONE;765,68;;432,78;
38 / 5;   ONERI DIVERSI DI GESTIONE;765,68;;432,78;
38 / 5 / 17;      Altre imposte indeducibili;87,76;;;
38 / 5 / 23;      Contributi assoc.sind.e di categ.;200,00;100,00%;200,00;
38 / 5 / 24;      Valori bollati;16,00;100,00%;16,00;
38 / 5 / 40;      Tasse di poss.autovett.(ded.20%);150,92;20,00%;30,18;
38 / 5 / 47;      IMU immobili strument.(ded.60%);311,00;60,00%;186,60;
44;RICAVI DELLE VENDITE E DELLE PREST.;14.917,47;;;14.917,47
44 / 15;   RICAVI DELLE PRESTAZIONI;14.917,47;;;14.917,47
44 / 15 / 1;      Prestazioni di servizi Italia;14.917,47;100,00%;;14.917,47
