47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;0,00;73298,18;
47.07;CORRISPETTIVI;0,00;73298,18;
47.07.01;Corrispettivi;0,00;73298,18;
53;ALTRI RICAVI E PROVENTI;0,00;1510,52;
53.01;PROVENTI DIVERSI;0,00;1510,52;
53.01.25;Contributi in base a contratto;0,00;1500,00;
53.01.29;Arrotondamenti attivi diversi;0,00;10,52;
55;ACQUISTI DI BENI;4655,96;0,00;
55.01;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;4655,96;0,00;
55.01.05;Acquisti materiali di consumo;369,02;0,00;
55.01.07;Acquisti merci per la rivendita;4286,94;0,00;
57;ACQUISTI DI SERVIZI;2914,54;0,00;
57.09;COSTI PER UTENZE;935,54;0,00;
57.09.13;Energia elettrica;935,54;0,00;
57.09.13.01;Energia elettrica;935,54;0,00;
57.11;MANUTENZIONI MACCHINARI E ATTREZZATURE;1979,00;0,00;
57.11.07;Altre spese manutenzione beni propri;1656,00;0,00;
57.11.07.01;Altre spese manutenzione beni propri;1656,00;0,00;
57.11.11;Canoni manutenzione attrezzature proprie;323,00;0,00;
61;PRESTAZIONI DI LAVORO NON DIPENDENTE;8120,00;0,00;
61.05;COMPENSI ORGANI SOCIALI;8120,00;0,00;
61.05.01;Compensi amministratori;7000,00;0,00;
61.05.01.07;Compensi amministr.soci co.co.co SP;7000,00;0,00;
61.05.11;Contributi previdenziali amministratori;1120,00;0,00;
61.05.11.09;Contrib.previd.ammin.co.co.co soci SP.;1120,00;0,00;
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;1411,42;0,00;
63.05;SPESE AMMINISTRATIVE E GENERALI;1411,42;0,00;
63.05.01;Spese postali;2,20;0,00;
63.05.07;Servizi contabili di terzi;798,54;0,00;
63.05.11;Altre spese amministrative;120,00;0,00;
63.05.13;Premi di assicurazioni non obbligatorie;138,47;0,00;
63.05.13.01;Premi di assicuraz.non obblig.deducibili;138,47;0,00;
63.05.17;Servizi di vigilanza;300,00;0,00;
63.05.25;Assistenza software;52,21;0,00;
65;COSTI PER GODIMENTO BENI DI TERZI;18114,91;0,00;
65.01;GESTIONE IMMOBILI;18114,91;0,00;
65.01.05;Canoni locazione immobili;17949,08;0,00;
65.01.05.01;Canoni locazione immobili deducibili;17949,08;0,00;Centro imputazione non assegnato
65.01.07;Spese condominiali e varie;165,83;0,00;
65.01.07.01;Spese condominiali e varie deducibili;165,83;0,00;
67;COSTI PERSONALE DIPENDENTE;27432,85;0,00;
67.01;COSTI PERSONALE DIPENDENTE;27432,85;0,00;
67.01.01;Retribuzioni lorde;21796,75;0,00;
67.01.01.01;Retribuzioni lorde dipendenti ordinari;21796,75;0,00;
67.01.03;Contributi INPS;5391,52;0,00;
67.01.03.01;Contributi INPS dipendenti ordinari;5391,52;0,00;
67.01.07;Quote TFR dipendenti;69,37;0,00;
67.01.07.01;Quote TFR dipend.ordinari (in azienda);69,37;0,00;
67.01.09;Contrib.altri enti previdenz./assistenz.;175,21;0,00;
67.01.09.01;Contrib.altri enti previd/ass.dip.ordin.;175,21;0,00;
71;ONERI DIVERSI DI GESTIONE;36,81;0,00;
71.01;ONERI TRIBUTARI;30,00;0,00;
71.01.07;Imposta di registro e concess. govern.;30,00;0,00;
71.03;ALTRI COSTI DI ESERCIZIO;6,81;0,00;
71.03.17;Arrotondamenti passivi diversi;6,81;0,00;
75;ONERI FINANZIARI;18,73;0,00;
75.01;ONERI FINANZIARI VERSO BANCHE;18,73;0,00;
75.01.07;Commissioni e spese bancarie;18,73;0,00;
80;AMMORTAMENTI;2034,34;0,00;
80.01;AMMORTAMENTI IMMOBILIZZAZ.IMMATERIALI;419,25;0,00;
80.01.27;Amm.to spese di manut.su beni di terzi;419,25;0,00;
80.03;AMMORTAMENTI IMMOBILIZZAZIONI MATERIALI;1615,09;0,00;
80.03.19;Amm.to ordinario impianti elettrici;145,25;0,00;
80.03.23;Amm.to ordinario impianti specifici;203,70;0,00;
80.03.29;Amm.to ordin.altri impianti e macchinari;181,43;0,00;
80.03.33;Amm.to ordinario attrezz.varia e minuta;29,06;0,00;
80.03.35;Amm.to ordinario mobili e arredi;985,72;0,00;
80.03.39;Amm.ord.macchine d'ufficio elettroniche;52,27;0,00;
80.03.59;Amm.to ordinario altri beni materiali;17,66;0,00;
80.03.59.01;Amm.to ordinari altri beni mater.deduc.;17,66;0,00;
