27;COSTI MAT.PRIME,SUSS.,CONSUMO,MERCI;1.104,90;
27 / 5;   ACQUISTI DIVERSI;1.104,90;
27 / 5 / 1005;      Mat.prime, di consumo e merci;1.104,90;
29;COSTI PER SERVIZI;327,93;
29 / 5;   COSTI PER SERVIZI (INDUSTRIALI);292,93;
29 / 5 / 11;      Energia elettrica uso industriale;211,68;
29 / 5 / 13;      Acqua e gas;81,25;
29 / 15;   COSTI PER SERVIZI (GENERALI);35,00;
29 / 15 / 1005;      Servizi raccolta e smalt.rifiuti;35,00;
31;COSTI PER GODIMENTO BENI DI TERZI;850,00;
31 / 5;   LEASING,LOCAZIONI,NOLEGGI,LICENZE;850,00;
31 / 5 / 1001;      Locazione fondo commerciale;850,00;
33;COSTI PER IL PERSONALE;2.125,33;
33 / 5;   SALARI E STIPENDI;1.449,00;
33 / 5 / 1001;      Stipendi e salari;1.449,00;
33 / 10;   ONERI SOCIALI;676,33;
33 / 10 / 1001;      Contributi dipendenti;676,33;
38;ONERI DIVERSI DI GESTIONE;12,00;
38 / 5;   ONERI DIVERSI DI GESTIONE;12,00;
38 / 5 / 18;      Spese di cancelleria;12,00;
44;RICAVI DELLE VENDITE E DELLE PREST.;;3.018,05
44 / 5;   RICAVI DELLE VENDITE ITALIA;;3.018,05
44 / 5 / 11;      Corrispettivi;;3.018,05
