27;COSTI MAT.PRIME,SUSS.,CONSUMO,MERCI;1.966,17;
27 / 5;   ACQUISTI DIVERSI;1.966,17;
27 / 5 / 20;      Indumenti di lavoro;178,00;
27 / 5 / 34;      Acquisti vari deducibili;206,36;
27 / 5 / 1005;      Mat.prime, di consumo e merci;1.581,81;
29;COSTI PER SERVIZI;777,93;
29 / 5;   COSTI PER SERVIZI (INDUSTRIALI);292,93;
29 / 5 / 11;      Energia elettrica uso industriale;211,68;
29 / 5 / 13;      Acqua e gas;81,25;
29 / 15;   COSTI PER SERVIZI (GENERALI);485,00;
29 / 15 / 25;      Manut./ripar.su altri beni di terz;450,00;
29 / 15 / 1005;      Servizi raccolta e smalt.rifiuti;35,00;
31;COSTI PER GODIMENTO BENI DI TERZI;1.700,00;
31 / 5;   LEASING,LOCAZIONI,NOLEGGI,LICENZE;1.700,00;
31 / 5 / 1001;      Locazione fondo commerciale;1.700,00;
33;COSTI PER IL PERSONALE;4.241,57;
33 / 5;   SALARI E STIPENDI;2.885,00;
33 / 5 / 1001;      Stipendi e salari;2.885,00;
33 / 10;   ONERI SOCIALI;1.356,57;
33 / 10 / 1001;      Contributi dipendenti;1.356,57;
38;ONERI DIVERSI DI GESTIONE;138,09;
38 / 5;   ONERI DIVERSI DI GESTIONE;138,09;
38 / 5 / 18;      Spese di cancelleria;12,00;
38 / 5 / 35;      Altri oneri di gestione ded.;126,09;
44;RICAVI DELLE VENDITE E DELLE PREST.;;6.725,42
44 / 5;   RICAVI DELLE VENDITE ITALIA;;6.725,42
44 / 5 / 11;      Corrispettivi;;6.725,42
