27;COSTI MAT.PRIME,SUSS.,CONSUMO,MERCI;1.858,17;
27 / 5;   ACQUISTI DIVERSI;1.858,17;
27 / 5 / 20;      Indumenti di lavoro;178,00;
27 / 5 / 34;      Acquisti vari deducibili;206,36;
27 / 5 / 1005;      Mat.prime, di consumo e merci;1.473,81;
29;COSTI PER SERVIZI;1.618,49;
29 / 5;   COSTI PER SERVIZI (INDUSTRIALI);481,84;
29 / 5 / 11;      Energia elettrica uso industriale;400,59;
29 / 5 / 13;      Acqua e gas;81,25;
29 / 15;   COSTI PER SERVIZI (GENERALI);1.136,65;
29 / 15 / 25;      Manut./ripar.su altri beni di terz;450,00;
29 / 15 / 47;      Spese bancarie;71,55;
29 / 15 / 49;      Commiss.per servizi di incasso;101,51;
29 / 15 / 53;      Servizi amministrativi e contabili;478,59;
29 / 15 / 1005;      Servizi raccolta e smalt.rifiuti;35,00;
31;COSTI PER GODIMENTO BENI DI TERZI;2.741,11;
31 / 5;   LEASING,LOCAZIONI,NOLEGGI,LICENZE;2.741,11;
31 / 5 / 14;      Noleggi deducibili 80%;191,11;
31 / 5 / 1001;      Locazione fondo commerciale;2.550,00;
33;COSTI PER IL PERSONALE;6.998,43;
33 / 5;   SALARI E STIPENDI;3.276,00;
33 / 5 / 1001;      Stipendi e salari;3.276,00;
33 / 10;   ONERI SOCIALI;3.722,43;
33 / 10 / 4;      Oneri sociali per operai;219,82;
33 / 10 / 1001;      Contributi dipendenti;3.502,61;
38;ONERI DIVERSI DI GESTIONE;389,30;
38 / 5;   ONERI DIVERSI DI GESTIONE;389,30;
38 / 5 / 16;      Altre imposte deducibili;251,21;
38 / 5 / 18;      Spese di cancelleria;12,00;
38 / 5 / 35;      Altri oneri di gestione ded.;126,09;
44;RICAVI DELLE VENDITE E DELLE PREST.;;7.868,76
44 / 5;   RICAVI DELLE VENDITE ITALIA;;7.868,76
44 / 5 / 11;      Corrispettivi;;7.868,76
