27;COSTI MAT.PRIME,SUSS.,CONSUMO,MERCI;2.123,81;
27 / 5;   ACQUISTI DIVERSI;2.123,81;
27 / 5 / 20;      Indumenti di lavoro;178,00;
27 / 5 / 34;      Acquisti vari deducibili;206,36;
27 / 5 / 1005;      Mat.prime, di consumo e merci;1.739,45;
29;COSTI PER SERVIZI;2.089,82;
29 / 5;   COSTI PER SERVIZI (INDUSTRIALI);853,17;
29 / 5 / 11;      Energia elettrica uso industriale;529,46;
29 / 5 / 12;      Spese di riscaldamento;145,31;
29 / 5 / 13;      Acqua e gas;178,40;
29 / 15;   COSTI PER SERVIZI (GENERALI);1.236,65;
29 / 15 / 25;      Manut./ripar.su altri beni di terz;450,00;
29 / 15 / 47;      Spese bancarie;71,55;
29 / 15 / 49;      Commiss.per servizi di incasso;101,51;
29 / 15 / 53;      Servizi amministrativi e contabili;478,59;
29 / 15 / 81;      Altre spese deducibili;100,00;
29 / 15 / 1005;      Servizi raccolta e smalt.rifiuti;35,00;
31;COSTI PER GODIMENTO BENI DI TERZI;4.441,11;
31 / 5;   LEASING,LOCAZIONI,NOLEGGI,LICENZE;4.441,11;
31 / 5 / 14;      Noleggi deducibili 80%;191,11;
31 / 5 / 1001;      Locazione fondo commerciale;4.250,00;
33;COSTI PER IL PERSONALE;7.907,70;
33 / 5;   SALARI E STIPENDI;4.061,41;
33 / 5 / 1001;      Stipendi e salari;4.061,41;
33 / 10;   ONERI SOCIALI;3.846,29;
33 / 10 / 4;      Oneri sociali per operai;219,82;
33 / 10 / 1001;      Contributi dipendenti;3.626,47;
38;ONERI DIVERSI DI GESTIONE;389,30;
38 / 5;   ONERI DIVERSI DI GESTIONE;389,30;
38 / 5 / 16;      Altre imposte deducibili;251,21;
38 / 5 / 18;      Spese di cancelleria;12,00;
38 / 5 / 35;      Altri oneri di gestione ded.;126,09;
44;RICAVI DELLE VENDITE E DELLE PREST.;;12.636,77
44 / 5;   RICAVI DELLE VENDITE ITALIA;;12.636,77
44 / 5 / 11;      Corrispettivi;;12.636,77
