27;COSTI MAT.PRIME,SUSS.,CONSUMO,MERCI;4.350,20;
27 / 5;   ACQUISTI DIVERSI;4.350,20;
27 / 5 / 16;      Materiale di cancelleria;2.567,33;
27 / 5 / 32;      Acquisti vari indeducibili;1.420,16;
27 / 5 / 34;      Acquisti vari deducibili;362,71;
29;COSTI PER SERVIZI;123.640,95;
29 / 5;   COSTI PER SERVIZI (INDUSTRIALI);4.910,80;
29 / 5 / 16;      Servizi vari deducibili;684,20;
29 / 5 / 17;      Servizi vari indeducibili;458,55;
29 / 5 / 19;      Energia elettrica uso civile;3.009,81;
29 / 5 / 1001;      Gas;758,24;
29 / 10;   COSTI PER SERVIZI (COMMERCIALI);84.229,45;
29 / 10 / 1;      Provvigioni su vendite;83.967,20;
29 / 10 / 13;      Spese di rappresentanza deducibili;44,77;
29 / 10 / 18;      Spese rappresentanza (ded. 75%);217,48;
29 / 15;   COSTI PER SERVIZI (GENERALI);34.500,70;
29 / 15 / 4;      Assicur.autovetture (ded. 80%);1.232,00;
29 / 15 / 7;      Assicurazioni diverse;249,64;
29 / 15 / 10;      Sp.viaggio,vitto,all.dipend.ded.75;1.254,62;
29 / 15 / 15;      Manut./ripar.autov.proprie(ded.80%;3.738,98;
29 / 15 / 24;      Manut./ripar.su altri beni propri;976,55;
29 / 15 / 25;      Manut./ripar.su altri beni di terz;2.226,47;
29 / 15 / 33;      Pedaggi autostradali (ded.80%);500,00;
29 / 15 / 44;      Spese postali;36,34;
29 / 15 / 45;      Spese telefoniche (deducibili 80%);6.440,34;
29 / 15 / 53;      Servizi amministrativi e contabili;5.803,87;
29 / 15 / 54;      Servizi e prestazioni rese da prof;1.447,27;
29 / 15 / 55;      Spese per consulenza del lavoro;3.140,28;
29 / 15 / 57;      Visite ed esami medici per dipend.;149,13;
29 / 15 / 58;      Spese aggiornamento e formaz.pers.;228,14;
29 / 15 / 81;      Altre spese deducibili;3.609,51;
29 / 15 / 90;      Canoni di assistenza;248,88;
29 / 15 / 108;      Carbur./lubrific.autovett.(ded.80%;3.082,66;
29 / 15 / 1005;      Servizi raccolta e smalt.rifiuti;117,12;
29 / 15 / 1006;      Parcheggi ded.80%;18,90;
31;COSTI PER GODIMENTO BENI DI TERZI;4.757,72;
31 / 5;   LEASING,LOCAZIONI,NOLEGGI,LICENZE;4.757,72;
31 / 5 / 3;      Locazione uffici;3.915,92;
31 / 5 / 24;      Noleggi attrezzature ed altri beni;841,80;
33;COSTI PER IL PERSONALE;61.381,09;
33 / 5;   SALARI E STIPENDI;38.823,00;
33 / 5 / 4;      Stipendi impiegati;38.823,00;
33 / 10;   ONERI SOCIALI;22.558,09;
33 / 10 / 5;      Oneri sociali per impiegati;429,90;
33 / 10 / 1001;      Contributi dipendenti;22.128,19;
38;ONERI DIVERSI DI GESTIONE;9.699,22;
38 / 5;   ONERI DIVERSI DI GESTIONE;9.699,22;
38 / 5 / 5;      Tasse di poss.autovett.(ded.80%);309,46;
38 / 5 / 18;      Spese di cancelleria;229,46;
38 / 5 / 19;      Libri, giornali e riviste;100,91;
38 / 5 / 20;      Omaggi di beni infer.ad Euro 50,00;80,23;
38 / 5 / 24;      Valori bollati;1.479,00;
38 / 5 / 28;      Diritti camerali (CCIAA);138,00;
38 / 5 / 5001;      Cassa previdenza agenti;4,85;
38 / 5 / 5003;      Diritto rivalsa-parte Interessi;106,45;
38 / 5 / 5004;      Diritto di rivalsa-parte capitale;1.169,60;
38 / 5 / 5005;      Polizza cauzione agenti;98,48;
38 / 5 / 5014;      Sindacato Nazionale Agenti Assicur;390,00;
38 / 5 / 5024;      Cassa Previdenza Agenti Metlife;39,08;
38 / 5 / 5026;      Contributo fondo pens.Marcella;155,00;
38 / 5 / 5031;      Contributi CPA agenti Stoppato;390,90;
38 / 5 / 5032;      Contributi CPA agenti Ciullini;390,90;
38 / 5 / 5033;      Contributi FPA ordinario Stoppato;1.455,00;
38 / 5 / 5034;      Cassa Previdenza Gruppo ITAS;1.050,74;
38 / 5 / 5036;      Polizza RC professionale;220,00;
38 / 5 / 5037;      Contributo int.fondo pens.Ciullini;155,00;
38 / 5 / 5038;      Contr.ord.2019 fond.pensioni Ciul.;1.455,00;
38 / 5 / 5039;      Altri oneri di gestione ded.;281,16;
39;ONERI FINANZIARI;1,42;
39 / 5;   INTERESSI E ALTRI ONERI FINANZIARI;1,42;
39 / 5 / 13;      Interessi passivi di mora;1,42;
;      SUPER AMMORTAMENTI (Simulazione);;
44;RICAVI DELLE VENDITE E DELLE PREST.;;269.439,74
44 / 15;   RICAVI DELLE PRESTAZIONI;;269.439,74
44 / 15 / 3;      Provvigioni attive;;269.439,74
47;ALTRI RICAVI E PROVENTI;;16.605,35
47 / 5;   ALTRI RICAVI E PROVENTI;;16.605,35
47 / 5 / 28;      Ricavi diversi;;164,50
47 / 5 / 5001;      Contributi attivi;;16.261,85
47 / 5 / 5002;      Autentiche notarili;;179,00
