47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;0,00;115993,73;
47.07;CORRISPETTIVI;0,00;115993,73;
47.07.01;Corrispettivi;0,00;115993,73;
53;ALTRI RICAVI E PROVENTI;0,00;1514,11;
53.01;PROVENTI DIVERSI;0,00;1514,11;
53.01.25;Contributi in base a contratto;0,00;1500,00;
53.01.29;Arrotondamenti attivi diversi;0,00;14,11;
55;ACQUISTI DI BENI;10999,12;0,00;
55.01;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;10949,67;0,00;
55.01.05;Acquisti materiali di consumo;874,31;0,00;
55.01.07;Acquisti merci per la rivendita;10075,36;0,00;
55.07;ACQUISTI DIVERSI;49,45;0,00;
55.07.03;Attrezzatura minuta;49,45;0,00;
57;ACQUISTI DI SERVIZI;4583,49;0,00;
57.09;COSTI PER UTENZE;2326,19;0,00;
57.09.13;Energia elettrica;2162,00;0,00;
57.09.13.01;Energia elettrica;2162,00;0,00;
57.09.17;Acqua potabile;164,19;0,00;
57.11;MANUTENZIONI MACCHINARI E ATTREZZATURE;2257,30;0,00;
57.11.03;Spese manutenzione attrezzature proprie;94,00;0,00;
57.11.07;Altre spese manutenzione beni propri;1656,00;0,00;
57.11.07.01;Altre spese manutenzione beni propri;1656,00;0,00;
57.11.11;Canoni manutenzione attrezzature proprie;323,00;0,00;
57.11.15;Spese manut.impianti e macchin.di terzi;184,30;0,00;
61;PRESTAZIONI DI LAVORO NON DIPENDENTE;12180,00;0,00;
61.05;COMPENSI ORGANI SOCIALI;12180,00;0,00;
61.05.01;Compensi amministratori;10500,00;0,00;
61.05.01.07;Compensi amministr.soci co.co.co SP;10500,00;0,00;
61.05.11;Contributi previdenziali amministratori;1680,00;0,00;
61.05.11.09;Contrib.previd.ammin.co.co.co soci SP.;1680,00;0,00;
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;3324,47;0,00;
63.05;SPESE AMMINISTRATIVE E GENERALI;3324,47;0,00;
63.05.01;Spese postali;3,30;0,00;
63.05.07;Servizi contabili di terzi;1666,71;0,00;
63.05.11;Altre spese amministrative;221,88;0,00;
63.05.13;Premi di assicurazioni non obbligatorie;930,37;0,00;
63.05.13.01;Premi di assicuraz.non obblig.deducibili;930,37;0,00;
63.05.17;Servizi di vigilanza;450,00;0,00;Centro imputazione non assegnato
63.05.25;Assistenza software;52,21;0,00;
65;COSTI PER GODIMENTO BENI DI TERZI;27334,29;0,00;
65.01;GESTIONE IMMOBILI;27334,29;0,00;
65.01.05;Canoni locazione immobili;26923,62;0,00;
65.01.05.01;Canoni locazione immobili deducibili;26923,62;0,00;
65.01.07;Spese condominiali e varie;410,67;0,00;
65.01.07.01;Spese condominiali e varie deducibili;410,67;0,00;
67;COSTI PERSONALE DIPENDENTE;41379,99;0,00;
67.01;COSTI PERSONALE DIPENDENTE;41379,99;0,00;
67.01.01;Retribuzioni lorde;32854,91;0,00;
67.01.01.01;Retribuzioni lorde dipendenti ordinari;32854,91;0,00;
67.01.03;Contributi INPS;8166,06;0,00;
67.01.03.01;Contributi INPS dipendenti ordinari;8166,06;0,00;
67.01.07;Quote TFR dipendenti;96,74;0,00;
67.01.07.01;Quote TFR dipend.ordinari (in azienda);96,74;0,00;
67.01.09;Contrib.altri enti previdenz./assistenz.;262,28;0,00;
67.01.09.01;Contrib.altri enti previd/ass.dip.ordin.;262,28;0,00;
71;ONERI DIVERSI DI GESTIONE;208,52;0,00;
71.01;ONERI TRIBUTARI;30,00;0,00;
71.01.07;Imposta di registro e concess. govern.;30,00;0,00;
71.03;ALTRI COSTI DI ESERCIZIO;178,52;0,00;
71.03.09;Cancelleria varia;68,00;0,00;
71.03.11;Abbonamenti, libri e pubblicazioni;28,79;0,00;
71.03.17;Arrotondamenti passivi diversi;11,16;0,00;
71.03.51;Costi e spese diverse;70,57;0,00;
75;ONERI FINANZIARI;28,45;0,00;
75.01;ONERI FINANZIARI VERSO BANCHE;28,45;0,00;
75.01.07;Commissioni e spese bancarie;28,45;0,00;
80;AMMORTAMENTI;3103,18;0,00;
80.01;AMMORTAMENTI IMMOBILIZZAZ.IMMATERIALI;639,91;0,00;
80.01.27;Amm.to spese di manut.su beni di terzi;639,91;0,00;
80.03;AMMORTAMENTI IMMOBILIZZAZIONI MATERIALI;2463,27;0,00;
80.03.19;Amm.to ordinario impianti elettrici;221,82;0,00;
80.03.23;Amm.to ordinario impianti specifici;310,80;0,00;
80.03.29;Amm.to ordin.altri impianti e macchinari;276,74;0,00;
80.03.33;Amm.to ordinario attrezz.varia e minuta;44,29;0,00;
80.03.35;Amm.to ordinario mobili e arredi;1502,92;0,00;Centro imputazione non assegnato
80.03.39;Amm.ord.macchine d'ufficio elettroniche;79,77;0,00;
80.03.59;Amm.to ordinario altri beni materiali;26,93;0,00;
80.03.59.01;Amm.to ordinari altri beni mater.deduc.;26,93;0,00;
