29;COSTI PER SERVIZI;4.840,47;
29 / 10;   COSTI PER SERVIZI (COMMERCIALI);3.379,86;
29 / 10 / 1;      Provvigioni su vendite;3.379,86;
29 / 15;   COSTI PER SERVIZI (GENERALI);1.460,61;
29 / 15 / 15;      Manut./ripar.autov.proprie(ded.80%;431,15;
29 / 15 / 81;      Altre spese deducibili;606,46;
29 / 15 / 108;      Carbur./lubrific.autovett.(ded.80%;118,00;
29 / 15 / 1004;      Spese corsi (ded. 100%);305,00;
31;COSTI PER GODIMENTO BENI DI TERZI;981,92;
31 / 5;   LEASING,LOCAZIONI,NOLEGGI,LICENZE;981,92;
31 / 5 / 3;      Locazione uffici;981,92;
33;COSTI PER IL PERSONALE;5.466,05;
33 / 5;   SALARI E STIPENDI;3.044,00;
33 / 5 / 4;      Stipendi impiegati;3.044,00;
33 / 10;   ONERI SOCIALI;2.422,05;
33 / 10 / 5;      Oneri sociali per impiegati;536,47;
33 / 10 / 1001;      Contributi dipendenti;1.885,58;
38;ONERI DIVERSI DI GESTIONE;88,50;
38 / 5;   ONERI DIVERSI DI GESTIONE;88,50;
38 / 5 / 9;      Imposta di registro;86,50;
38 / 5 / 24;      Valori bollati;2,00;
44;RICAVI DELLE VENDITE E DELLE PREST.;;13.537,87
44 / 15;   RICAVI DELLE PRESTAZIONI;;13.537,87
44 / 15 / 3;      Provvigioni attive;;13.537,87
