27;COSTI MAT.PRIME,SUSS.,CONSUMO,MERCI;560,91;
27 / 5;   ACQUISTI DIVERSI;560,91;
27 / 5 / 4;      Merci;63,48;
27 / 5 / 16;      Materiale di cancelleria;453,43;
27 / 5 / 34;      Acquisti vari deducibili;44,00;
29;COSTI PER SERVIZI;25.465,60;
29 / 10;   COSTI PER SERVIZI (COMMERCIALI);19.243,26;
29 / 10 / 1;      Provvigioni su vendite;19.212,76;
29 / 10 / 13;      Spese di rappresentanza deducibili;30,50;
29 / 15;   COSTI PER SERVIZI (GENERALI);6.222,34;
29 / 15 / 10;      Sp.viaggio,vitto,all.dipend.ded.75;305,90;
29 / 15 / 15;      Manut./ripar.autov.proprie(ded.80%;963,15;
29 / 15 / 24;      Manut./ripar.su altri beni propri;427,00;
29 / 15 / 25;      Manut./ripar.su altri beni di terz;427,00;
29 / 15 / 33;      Pedaggi autostradali (ded.80%);50,00;
29 / 15 / 45;      Spese telefoniche (deducibili 80%);49,95;
29 / 15 / 54;      Servizi e prestazioni rese da prof;61,00;
29 / 15 / 55;      Spese per consulenza del lavoro;952,23;
29 / 15 / 74;      Manut. sistemi telefonici (80%);60,00;
29 / 15 / 81;      Altre spese deducibili;1.773,06;
29 / 15 / 83;      Altre spese documentate (ded. 80%);231,45;
29 / 15 / 108;      Carbur./lubrific.autovett.(ded.80%;555,60;
29 / 15 / 1004;      Spese corsi (ded. 100%);366,00;
31;COSTI PER GODIMENTO BENI DI TERZI;1.963,84;
31 / 5;   LEASING,LOCAZIONI,NOLEGGI,LICENZE;1.963,84;
31 / 5 / 3;      Locazione uffici;981,92;
31 / 5 / 1001;      Locazione fondo commerciale;981,92;
33;COSTI PER IL PERSONALE;20.423,44;
33 / 5;   SALARI E STIPENDI;12.849,00;
33 / 5 / 4;      Stipendi impiegati;12.849,00;
33 / 10;   ONERI SOCIALI;7.574,44;
33 / 10 / 5;      Oneri sociali per impiegati;536,47;
33 / 10 / 1001;      Contributi dipendenti;7.037,97;
38;ONERI DIVERSI DI GESTIONE;408,23;
38 / 5;   ONERI DIVERSI DI GESTIONE;408,23;
38 / 5 / 9;      Imposta di registro;86,50;
38 / 5 / 24;      Valori bollati;8,00;
38 / 5 / 5003;      Diritto Rivalsa-parte Interessi;21,33;
38 / 5 / 5004;      Diritto Rivalsa-parte capitale;292,40;
44;RICAVI DELLE VENDITE E DELLE PREST.;;74.614,14
44 / 15;   RICAVI DELLE PRESTAZIONI;;74.614,14
44 / 15 / 3;      Provvigioni attive;;74.614,14
47;ALTRI RICAVI E PROVENTI;;4.537,74
47 / 5;   ALTRI RICAVI E PROVENTI;;4.537,74
47 / 5 / 28;      Ricavi diversi;;54,00
47 / 5 / 5001;      Contributi attivi;;4.483,74
;;;
