27;COSTI MAT.PRIME,SUSS.,CONSUMO,MERCI;19.333,50;
27 / 5;   ACQUISTI DIVERSI;19.333,50;
27 / 5 / 13;      Carburanti/lubrificanti autocarri;721,30;
27 / 5 / 16;      Materiale di cancelleria;17,20;
27 / 5 / 1005;      Mat.prime, di consumo e merci;18.595,00;
29;COSTI PER SERVIZI;4.350,51;
29 / 5;   COSTI PER SERVIZI (INDUSTRIALI);1.005,00;
29 / 5 / 7;      Lavorazioni esterne;1.005,00;
29 / 10;   COSTI PER SERVIZI (COMMERCIALI);304,61;
29 / 10 / 18;      Spese rappresentanza (ded. 75%);304,61;
29 / 15;   COSTI PER SERVIZI (GENERALI);3.040,90;
29 / 15 / 6;      Assicurazioni autocarri;304,53;
29 / 15 / 10;      Sp.viaggio,vitto,all.dipend.ded.75;55,08;
29 / 15 / 22;      Manut./ripar.autocarri propri;232,18;
29 / 15 / 24;      Manut./ripar.su altri beni propri;576,85;
29 / 15 / 30;      Pedaggi autostradali deducibili;286,86;
29 / 15 / 53;      Servizi amministrativi e contabili;1.240,50;
29 / 15 / 81;      Altre spese deducibili;344,90;
31;COSTI PER GODIMENTO BENI DI TERZI;185,81;
31 / 5;   LEASING,LOCAZIONI,NOLEGGI,LICENZE;185,81;
31 / 5 / 24;      Noleggi attrezzature ed altri beni;185,81;
38;ONERI DIVERSI DI GESTIONE;118,28;
38 / 5;   ONERI DIVERSI DI GESTIONE;118,28;
38 / 5 / 1002;      Inail titolare e soci soc.pers.;118,28;
39;ONERI FINANZIARI;42,00;
39 / 5;   INTERESSI E ALTRI ONERI FINANZIARI;42,00;
39 / 5 / 15;      Oneri accessori su finanziamenti;42,00;
44;RICAVI DELLE VENDITE E DELLE PREST.;;56.971,00
44 / 5;   RICAVI DELLE VENDITE ITALIA;;23.516,50
44 / 5 / 1;      Vendite prod.finiti e merci Italia;;23.516,50
44 / 15;   RICAVI DELLE PRESTAZIONI;;33.454,50
44 / 15 / 1;      Prestazioni di servizi Italia;;33.454,50
