27;COSTI MAT.PRIME,SUSS.,CONSUMO,MERCI;3.959,88;
27 / 5;   ACQUISTI DIVERSI;3.959,88;
27 / 5 / 20;      Indumenti di lavoro;178,00;
27 / 5 / 34;      Acquisti vari deducibili;460,72;
27 / 5 / 1005;      Mat.prime, di consumo e merci;3.321,16;
29;COSTI PER SERVIZI;2.870,75;
29 / 5;   COSTI PER SERVIZI (INDUSTRIALI);1.433,62;
29 / 5 / 11;      Energia elettrica uso industriale;923,56;
29 / 5 / 12;      Spese di riscaldamento;282,63;
29 / 5 / 13;      Acqua e gas;227,43;
29 / 15;   COSTI PER SERVIZI (GENERALI);1.437,13;
29 / 15 / 25;      Manut./ripar.su altri beni di terz;530,00;
29 / 15 / 47;      Spese bancarie;161,04;
29 / 15 / 49;      Commiss.per servizi di incasso;132,50;
29 / 15 / 53;      Servizi amministrativi e contabili;478,59;
29 / 15 / 81;      Altre spese deducibili;100,00;
29 / 15 / 1005;      Servizi raccolta e smalt.rifiuti;35,00;
31;COSTI PER GODIMENTO BENI DI TERZI;8.223,33;
31 / 5;   LEASING,LOCAZIONI,NOLEGGI,LICENZE;8.223,33;
31 / 5 / 14;      Noleggi deducibili 80%;573,33;
31 / 5 / 1001;      Locazione fondo commerciale;7.650,00;
33;COSTI PER IL PERSONALE;16.190,16;
33 / 5;   SALARI E STIPENDI;9.647,41;
33 / 5 / 1001;      Stipendi e salari;9.647,41;
33 / 10;   ONERI SOCIALI;6.542,75;
33 / 10 / 4;      Oneri sociali per operai;219,82;
33 / 10 / 1001;      Contributi dipendenti;6.322,93;
38;ONERI DIVERSI DI GESTIONE;414,16;
38 / 5;   ONERI DIVERSI DI GESTIONE;414,16;
38 / 5 / 16;      Altre imposte deducibili;276,07;
38 / 5 / 18;      Spese di cancelleria;12,00;
38 / 5 / 35;      Altri oneri di gestione ded.;126,09;
44;RICAVI DELLE VENDITE E DELLE PREST.;;27.731,90
44 / 5;   RICAVI DELLE VENDITE ITALIA;;27.731,90
44 / 5 / 11;      Corrispettivi;;27.731,90
