47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;0,00;258230,77
47.01;VENDITE PRODOTTI FINITI E MERCI;0,00;2034,40
47.01.11;Aggio su beni di monopolio;0,00;2034,40
47.07;CORRISPETTIVI;0,00;256196,37
47.07.01;Corrispettivi;0,00;256196,37
47.07.01;BAR- ATTIVIT… PRINCIPALE;0,00;165312,31
47.07.01;MINIMERCATO;0,00;90884,06
53;ALTRI RICAVI E PROVENTI;0,00;120,00
53.01;PROVENTI DIVERSI;0,00;120,00
53.01.51;Altri ricavi e proventi;0,00;120,00
55;ACQUISTI DI BENI;120212,65;
55.01;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;537,67;
55.01.09;Confezioni e imballi;533,82;
55.01.19;Oneri accessori su acquisti;3,85;
55.03;ACQUISTI PER LA PRODUZIONE DI SERVIZI;123098,75;
55.03.01;Acq.beni materiali per produz. servizi;122409,01;
55.03.03;Acq.materiali di consumo (att.servizi);689,74;
55.05;VARIAZIONI ATTIVE SU ACQUISTI;-3787,13;
55.05.01;Sconti su acquisti;-3787,13;
55.07;ACQUISTI DIVERSI;363,36;
55.07.03;Attrezzatura minuta;77,51;
55.07.51;Materiale vario di consumo;285,85;
57;ACQUISTI DI SERVIZI;10045,48;
57.01;SERVIZI PER LA PRODUZIONE;493,38;
57.01.51;Altri servizi per la produzione;493,38;
57.09;COSTI PER UTENZE;9507,10;
57.09.01;Spese telefoniche ordinarie;552,75;
57.09.13;Energia elettrica;7731,10;
57.09.17;Acqua potabile;1223,25;
57.11;MANUTENZIONI MACCHINARI E ATTREZZATURE;45,00;
57.11.03;Spese manutenzione attrezzature proprie;45,00;
61;PRESTAZIONI DI LAVORO NON DIPENDENTE;806,75;
61.01;PRESTAZIONI DI LAVORO AUTONOMO;806,75;
61.01.03;Consulenze tecniche;806,75;
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;8578,09;
63.03;SPESE DI RAPPRESENTANZA (ON.DIV.GEST.);650,89;
63.03.03;Omaggi;650,89;
63.05;SPESE AMMINISTRATIVE E GENERALI;7927,20;
63.05.07;Servizi contabili di terzi;4582,01;
63.05.11;Altre spese amministrative;159,31;
63.05.15;Premi di assicurazioni obbligatorie;2467,10;
63.05.17;Servizi di vigilanza;691,68;
63.05.23;Valori bollati;27,10;
65;COSTI PER GODIMENTO BENI DI TERZI;11601,00;
65.01;GESTIONE IMMOBILI;11556,00;
65.01.05;Canoni locazione immobili;11556,00;
65.05;LOCAZIONI E CANONI IMPIANTI E ATTREZZ.;45,00;
65.05.15;Canoni noleggio attrezzature;45,00;
67;COSTI PERSONALE DIPENDENTE;39426,27;
67.01;COSTI PERSONALE DIPENDENTE;39426,27;
67.01.01;Retribuzioni lorde;29471,58;
67.01.03;Contributi INPS;9097,36;
67.01.07;Quote TFR dipendenti;615,78;
67.01.09;Contrib.altri enti previdenz./assistenz.;241,55;
71;ONERI DIVERSI DI GESTIONE;4518,44;
71.01;ONERI TRIBUTARI;3718,69;
71.01.05;Diritti camerali;135,00;
71.01.07;Imposta di registro e concess. govern.;106,03;
71.01.13;Tassa raccolta e smaltimento rifiuti;2496,00;
71.01.51;Altre imposte e tasse indirette;981,66;
71.03;ALTRI COSTI DI ESERCIZIO;799,75;
71.03.01;Spese, perdite e sopravvenienze passive;193,95;
71.03.11;Abbonamenti, libri e pubblicazioni;605,80;
75;ONERI FINANZIARI;554,88;
75.01;ONERI FINANZIARI VERSO BANCHE;552,80;
75.01.07;Commissioni e spese bancarie;552,80;
75.03;ONERI FINANZIARI DIVERSI;2,08;
75.03.27;Interessi passivi di mora;2,08;
80;AMMORTAMENTI;12481,76;
80.01;AMMORTAMENTI IMMOBILIZZAZ.IMMATERIALI;11351,64;
80.01.19;Amm.to avviamento;10786,40;
80.01.27;Amm.to spese di manut.su beni di terzi;356,49;
80.01.53;Amm.to altre spese pluriennali;208,75;
80.03;AMMORTAMENTI IMMOBILIZZAZIONI MATERIALI;1130,12;
80.03.29;Amm.to ordin.altri impianti e macchinari;390,00;
80.03.31;Amm.ord.attrez.spec.industr.comm.agric.;504,00;
80.03.35;Amm.to ordinario mobili e arredi;236,12;
