27;COSTI MAT.PRIME,SUSS.,CONSUMO,MERCI;400,66;
27 / 5;   ACQUISTI DIVERSI;400,66;
27 / 5 / 34;      Acquisti vari deducibili;341,51;
27 / 5 / 40;      Carbur./lubrific.autovett.(ded.20%;59,15;
29;COSTI PER SERVIZI;50.606,51;
29 / 5;   COSTI PER SERVIZI (INDUSTRIALI);2.735,50;
29 / 5 / 16;      Servizi vari deducibili;2.735,50;
29 / 10;   COSTI PER SERVIZI (COMMERCIALI);251,75;
29 / 10 / 10;      Spese di pubblicita' e propaganda;120,00;
29 / 10 / 18;      Spese rappresentanza (ded. 75%);131,75;
29 / 15;   COSTI PER SERVIZI (GENERALI);47.619,26;
29 / 15 / 10;      Sp.viaggio,vitto,all.dipend.ded.75;48,86;
29 / 15 / 11;      Servizi vari commerciali;32.920,30;
29 / 15 / 53;      Servizi amministrativi e contabili;3.123,36;
29 / 15 / 81;      Altre spese deducibili;1.761,64;
29 / 15 / 105;      Carbur./lubrific.autovett.(ded.20%;523,82;
29 / 15 / 1010;      Serv.prest.rese da prof.Minimi/For;9.109,28;
29 / 15 / 5001;"      Servizio "" Call Tracking Tel.""";132,00;
31;COSTI PER GODIMENTO BENI DI TERZI;5.200,00;
31 / 5;   LEASING,LOCAZIONI,NOLEGGI,LICENZE;5.200,00;
31 / 5 / 3;      Locazione uffici;5.200,00;
33;COSTI PER IL PERSONALE;18.065,97;
33 / 5;   SALARI E STIPENDI;10.187,00;
33 / 5 / 1001;      Stipendi e salari;10.187,00;
33 / 10;   ONERI SOCIALI;7.878,97;
33 / 10 / 1001;      Contributi dipendenti;7.878,97;
38;ONERI DIVERSI DI GESTIONE;164,23;
38 / 5;   ONERI DIVERSI DI GESTIONE;164,23;
38 / 5 / 1002;      Inail titolare e soci soc.pers.;164,23;
44;RICAVI DELLE VENDITE E DELLE PREST.;;145.920,90
44 / 15;   RICAVI DELLE PRESTAZIONI;;145.920,90
44 / 15 / 1;      Prestazioni di servizi Italia;;140.120,90
44 / 15 / 2;      Prestazioni di servizi estero;;5.800,00
