27;COSTI MAT.PRIME,SUSS.,CONSUMO,MERCI;229,80;
27 / 5;   ACQUISTI DIVERSI;229,80;
27 / 5 / 16;      Materiale di cancelleria;15,12;
27 / 5 / 30;      Acqu.beni inf. a 516,46 Euro ded.;49,13;
27 / 5 / 34;      Acquisti vari deducibili;17,10;
27 / 5 / 40;      Carbur./lubrific.autovett.(ded.20%;28,40;
27 / 5 / 45;      Acqu.beni inf.a 516,46 Euro ded.80;120,05;
29;COSTI PER SERVIZI;41.371,12;
29 / 5;   COSTI PER SERVIZI (INDUSTRIALI);175,90;
29 / 5 / 16;      Servizi vari deducibili;175,90;
29 / 10;   COSTI PER SERVIZI (COMMERCIALI);267,50;
29 / 10 / 18;      Spese rappresentanza (ded. 75%);267,50;
29 / 15;   COSTI PER SERVIZI (GENERALI);40.927,72;
29 / 15 / 10;      Sp.viaggio,vitto,all.dipend.ded.75;316,50;
29 / 15 / 11;      Servizi vari commerciali;29.266,70;
29 / 15 / 45;      Spese telefoniche (deducibili 80%);203,00;
29 / 15 / 52;      Spese legali e di consulenza;520,00;
29 / 15 / 53;      Servizi amministrativi e contabili;1.296,41;
29 / 15 / 61;      Spese buoni pasto per dipendenti;214,20;
29 / 15 / 81;      Altre spese deducibili;948,65;
29 / 15 / 92;      Assicur.autovetture (ded. 20%);439,00;
29 / 15 / 98;      Pedaggi autostradali (ded.20%);159,19;
29 / 15 / 105;      Carbur./lubrific.autovett.(ded.20%;134,07;
29 / 15 / 1010;      Serv.prest.rese da prof.Minimi/For;7.430,00;
31;COSTI PER GODIMENTO BENI DI TERZI;3.913,00;
31 / 5;   LEASING,LOCAZIONI,NOLEGGI,LICENZE;3.913,00;
31 / 5 / 3;      Locazione uffici;3.913,00;
33;COSTI PER IL PERSONALE;23.094,29;
33 / 5;   SALARI E STIPENDI;13.788,00;
33 / 5 / 1001;      Stipendi e salari;13.788,00;
33 / 10;   ONERI SOCIALI;9.306,29;
33 / 10 / 1001;      Contributi dipendenti;9.306,29;
38;ONERI DIVERSI DI GESTIONE;661,96;
38 / 5;   ONERI DIVERSI DI GESTIONE;661,96;
38 / 5 / 40;      Tasse di poss.autovett.(ded.20%);239,46;
38 / 5 / 1002;      Inail titolare e soci soc.pers.;422,50;
44;RICAVI DELLE VENDITE E DELLE PREST.;;179.451,13
44 / 15;   RICAVI DELLE PRESTAZIONI;;179.451,13
44 / 15 / 1;      Prestazioni di servizi Italia;;176.462,33
44 / 15 / 2;      Prestazioni di servizi estero;;2.988,80
