47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;0,00;53568,92
47.01;VENDITE PRODOTTI FINITI E MERCI;0,00;472,20
47.01.11;Aggio su beni di monopolio;0,00;472,20
47.07;CORRISPETTIVI;0,00;53096,72
47.07.01;Corrispettivi;0,00;53096,72
55;ACQUISTI DI BENI;25808,40;0,00
55.01;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;1,54;0,00
55.01.19;Oneri accessori su acquisti;1,54;0,00
55.03;ACQUISTI PER LA PRODUZIONE DI SERVIZI;26682,31;0,00
55.03.01;Acq.beni materiali per produz. servizi;26682,31;0,00
55.05;VARIAZIONI ATTIVE SU ACQUISTI;-929,00;0,00
55.05.01;Sconti su acquisti;-929,00;0,00
55.05.01.03;Sconti su acquisti beni per produz.serv.;-929,00;0,00
55.07;ACQUISTI DIVERSI;53,55;0,00
55.07.51;Materiale vario di consumo;53,55;0,00
57;ACQUISTI DI SERVIZI;2799,69;0,00
57.01;SERVIZI PER LA PRODUZIONE;58,82;0,00
57.01.51;Altri servizi per la produzione;58,82;0,00
57.01.51.03;Acq.servizi diversi (attiv.di servizi);58,82;0,00
57.09;COSTI PER UTENZE;2510,87;0,00
57.09.01;Spese telefoniche ordinarie;84,28;0,00
57.09.01.01;Spese telefoniche ordinarie;84,28;0,00
57.09.13;Energia elettrica;2195,85;0,00
57.09.13.01;Energia elettrica;2195,85;0,00
57.09.17;Acqua potabile;230,74;0,00
57.11;MANUTENZIONI MACCHINARI E ATTREZZATURE;230,00;0,00
57.11.01;Spese manut.impianti e macchin.propri;230,00;0,00
61;PRESTAZIONI DI LAVORO NON DIPENDENTE;176,47;0,00
61.01;PRESTAZIONI DI LAVORO AUTONOMO;176,47;0,00
61.01.03;Consulenze tecniche;176,47;0,00
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;2047,97;0,00
63.05;SPESE AMMINISTRATIVE E GENERALI;2047,97;0,00
63.05.07;Servizi contabili di terzi;1658,93;0,00
63.05.11;Altre spese amministrative;214,12;0,00
63.05.17;Servizi di vigilanza;172,92;0,00
63.05.23;Valori bollati;2,00;0,00
65;COSTI PER GODIMENTO BENI DI TERZI;2889,00;0,00
65.01;GESTIONE IMMOBILI;2889,00;0,00
65.01.05;Canoni locazione immobili;2889,00;0,00
65.01.05.01;Canoni locazione immobili deducibili;2889,00;0,00
67;COSTI PERSONALE DIPENDENTE;7424,99;0,00
67.01;COSTI PERSONALE DIPENDENTE;7424,99;0,00
67.01.01;Retribuzioni lorde;5573,52;0,00
67.01.01.01;Retribuzioni lorde dipendenti ordinari;5573,52;0,00
67.01.03;Contributi INPS;1750,76;0,00
67.01.03.01;Contributi INPS dipendenti ordinari;1750,76;0,00
67.01.09;Contrib.altri enti previdenz./assistenz.;100,71;0,00
67.01.09.01;Contrib.altri enti previd/ass.dip.ordin.;100,71;0,00
71;ONERI DIVERSI DI GESTIONE;391,68;0,00
71.03;ALTRI COSTI DI ESERCIZIO;391,68;0,00
71.03.11;Abbonamenti, libri e pubblicazioni;391,68;0,00
75;ONERI FINANZIARI;2,57;0,00
75.03;ONERI FINANZIARI DIVERSI;2,57;0,00
75.03.27;Interessi passivi di mora;2,57;0,00
75.03.27.01;Interessi passivi di mora pagati;2,57;0,00
80;AMMORTAMENTI;0,00;0,00
80.01;AMMORTAMENTI IMMOBILIZZAZ.IMMATERIALI;0,00;0,00
80.01.19;Amm.to avviamento;0,00;0,00
80.01.27;Amm.to spese di manut.su beni di terzi;0,00;0,00
80.01.53;Amm.to altre spese pluriennali;0,00;0,00
80.03;AMMORTAMENTI IMMOBILIZZAZIONI MATERIALI;0,00;0,00
80.03.29;Amm.to ordin.altri impianti e macchinari;0,00;0,00
80.03.31;Amm.ord.attrez.spec.industr.comm.agric.;0,00;0,00
80.03.35;Amm.to ordinario mobili e arredi;0,00;0,00
