27;COSTI MAT.PRIME,SUSS.,CONSUMO,MERCI;5.424,32;
27 / 5;   ACQUISTI DIVERSI;5.424,32;
27 / 5 / 3;      Materie di consumo;145,80;
27 / 5 / 4;      Merci;660,00;
27 / 5 / 20;      Indumenti di lavoro;74,50;
27 / 5 / 32;      Acquisti vari indeducibili;147,88;
27 / 5 / 34;      Acquisti vari deducibili;410,18;
27 / 5 / 35;      Materiali di consumo;3.985,96;
29;COSTI PER SERVIZI;26.155,52;
29 / 5;   COSTI PER SERVIZI (INDUSTRIALI);1.305,98;
29 / 5 / 11;      Energia elettrica uso industriale;1.080,78;
29 / 5 / 13;      Acqua e gas;184,63;
29 / 5 / 18;      Assicur.su impianti e macchinari;3,07;
29 / 5 / 22;      Mater.e merci utilizz.produz.serv.;37,50;
29 / 15;   COSTI PER SERVIZI (GENERALI);24.849,54;
29 / 15 / 7;      Assicurazioni diverse;490,50;
29 / 15 / 24;      Manut./ripar.su altri beni propri;193,00;
29 / 15 / 45;      Spese telefoniche (deducibili 80%);1.432,41;
29 / 15 / 47;      Spese bancarie;61,62;
29 / 15 / 53;      Servizi amministrativi e contabili;8.556,05;
29 / 15 / 54;      Servizi e prestazioni rese da prof;738,52;
29 / 15 / 55;      Spese per consulenza del lavoro;4.739,20;
29 / 15 / 57;      Visite ed esami medici per dipend.;1.180,00;
29 / 15 / 64;      Servizi e spese di pulizia;540,00;
29 / 15 / 69;      Altre Spese condominiali ded.;857,81;
29 / 15 / 81;      Altre spese deducibili;347,54;
29 / 15 / 1003;      Servizi di sorveglianza;270,00;
29 / 15 / 1005;      Servizi raccolta e smalt.rifiuti;706,25;
29 / 15 / 5001;      Servizi per somministraz. lavoro;4.736,64;
31;COSTI PER GODIMENTO BENI DI TERZI;13.026,27;
31 / 5;   LEASING,LOCAZIONI,NOLEGGI,LICENZE;13.026,27;
31 / 5 / 1;      Locazione stabilimenti;12.927,27;
31 / 5 / 24;      Noleggi attrezzature ed altri beni;99,00;
33;COSTI PER IL PERSONALE;195.726,07;
33 / 5;   SALARI E STIPENDI;129.086,16;
33 / 5 / 3;      Salari operai;117.093,95;
33 / 5 / 1011;      Lavoro in somministrazione;11.992,21;
33 / 10;   ONERI SOCIALI;55.678,78;
33 / 10 / 4;      Oneri sociali per operai;884,46;
33 / 10 / 1001;      Contributi dipendenti;54.794,32;
33 / 15;   TRATTAMENTO DI FINE RAPPORTO;10.961,13;
33 / 15 / 6;      TFR corrisposto ad altri dipendent;10.961,13;
35;AMMORTAMENTI E SVALUTAZIONI;4.295,02;
35 / 5;   AMMORTAMENTO IMMOBILIZZ.IMMATERIALI;1.815,08;
35 / 5 / 22;      Amm.ampl./ammod.altri beni di terz;799,82;
35 / 5 / 99;      Amm.altre immobilizz.immateriali;1.015,26;
35 / 10;   AMMORTAMENTO IMMOBILIZZ.MATERIALI;2.479,94;
35 / 10 / 8;      Amm.macchinari;1.263,50;
35 / 10 / 10;      Amm.attrezzatura varia e minuta;196,64;
35 / 10 / 11;      Amm.mobili e macch.ordin.d'ufficio;823,50;
35 / 10 / 99;      Amm. altri beni materiali;196,30;
38;ONERI DIVERSI DI GESTIONE;684,47;
38 / 5;   ONERI DIVERSI DI GESTIONE;684,47;
38 / 5 / 9;      Imposta di registro;67,00;
38 / 5 / 11;      Tassa raccolta rifiuti;306,00;
38 / 5 / 20;      Omaggi di beni infer.ad Euro 50,00;139,93;
38 / 5 / 24;      Valori bollati;37,00;
38 / 5 / 28;      Diritti camerali (CCIAA);134,54;
;      SUPER AMMORTAMENTI (Simulazione);;
44;RICAVI DELLE VENDITE E DELLE PREST.;;203.750,50
44 / 15;   RICAVI DELLE PRESTAZIONI;;203.750,50
44 / 15 / 1;      Prestazioni di servizi Italia;;203.750,50
