27;COSTI MAT.PRIME,SUSS.,CONSUMO,MERCI;158,20;
27 / 5;   ACQUISTI DIVERSI;158,20;
27 / 5 / 34;      Acquisti vari deducibili;132,50;
27 / 5 / 35;      Materiali di consumo;25,70;
29;COSTI PER SERVIZI;2.055,89;
29 / 5;   COSTI PER SERVIZI (INDUSTRIALI);146,63;
29 / 5 / 13;      Acqua e gas;146,63;
29 / 15;   COSTI PER SERVIZI (GENERALI);1.909,26;
29 / 15 / 47;      Spese bancarie;33,24;
29 / 15 / 53;      Servizi amministrativi e contabili;582,82;
29 / 15 / 55;      Spese per consulenza del lavoro;635,20;
29 / 15 / 81;      Altre spese deducibili;3,00;
29 / 15 / 1003;      Servizi di sorveglianza;90,00;
29 / 15 / 1005;      Servizi raccolta e smalt.rifiuti;565,00;
31;COSTI PER GODIMENTO BENI DI TERZI;1.996,00;
31 / 5;   LEASING,LOCAZIONI,NOLEGGI,LICENZE;1.996,00;
31 / 5 / 1;      Locazione stabilimenti;1.900,00;
31 / 5 / 24;      Noleggi attrezzature ed altri beni;96,00;
33;COSTI PER IL PERSONALE;28.445,65;
33 / 5;   SALARI E STIPENDI;17.372,00;
33 / 5 / 3;      Salari operai;17.372,00;
33 / 10;   ONERI SOCIALI;11.073,65;
33 / 10 / 4;      Oneri sociali per operai;231,86;
33 / 10 / 1001;      Contributi dipendenti;10.841,79;
44;RICAVI DELLE VENDITE E DELLE PREST.;;39.892,00
44 / 15;   RICAVI DELLE PRESTAZIONI;;39.892,00
44 / 15 / 1;      Prestazioni di servizi Italia;;39.892,00
