27;COSTI MAT.PRIME,SUSS.,CONSUMO,MERCI;1.475,44;
27 / 5;   ACQUISTI DIVERSI;1.475,44;
27 / 5 / 34;      Acquisti vari deducibili;653,37;
27 / 5 / 35;      Materiali di consumo;822,07;
29;COSTI PER SERVIZI;6.239,32;
29 / 5;   COSTI PER SERVIZI (INDUSTRIALI);332,65;
29 / 5 / 13;      Acqua e gas;332,65;
29 / 15;   COSTI PER SERVIZI (GENERALI);5.906,67;
29 / 15 / 24;      Manut./ripar.su altri beni propri;120,45;
29 / 15 / 47;      Spese bancarie;44,32;
29 / 15 / 53;      Servizi amministrativi e contabili;582,82;
29 / 15 / 54;      Servizi e prestazioni rese da prof;927,16;
29 / 15 / 55;      Spese per consulenza del lavoro;2.486,70;
29 / 15 / 69;      Altre Spese condominiali ded.;452,82;
29 / 15 / 81;      Altre spese deducibili;6,00;
29 / 15 / 1003;      Servizi di sorveglianza;270,00;
29 / 15 / 1005;      Servizi raccolta e smalt.rifiuti;1.016,40;
31;COSTI PER GODIMENTO BENI DI TERZI;5.992,80;
31 / 5;   LEASING,LOCAZIONI,NOLEGGI,LICENZE;5.992,80;
31 / 5 / 1;      Locazione stabilimenti;5.800,80;
31 / 5 / 24;      Noleggi attrezzature ed altri beni;192,00;
33;COSTI PER IL PERSONALE;64.172,93;
33 / 5;   SALARI E STIPENDI;40.160,00;
33 / 5 / 3;      Salari operai;40.160,00;
33 / 10;   ONERI SOCIALI;24.012,93;
33 / 10 / 4;      Oneri sociali per operai;697,16;
33 / 10 / 1001;      Contributi dipendenti;23.315,77;
38;ONERI DIVERSI DI GESTIONE;60,00;
38 / 5;   ONERI DIVERSI DI GESTIONE;60,00;
38 / 5 / 9;      Imposta di registro;60,00;
44;RICAVI DELLE VENDITE E DELLE PREST.;;88.494,00
44 / 15;   RICAVI DELLE PRESTAZIONI;;88.494,00
44 / 15 / 1;      Prestazioni di servizi Italia;;88.494,00
