27;COSTI MAT.PRIME,SUSS.,CONSUMO,MERCI;1.475,44;
27 / 5;   ACQUISTI DIVERSI;1.475,44;
27 / 5 / 34;      Acquisti vari deducibili;653,37;
27 / 5 / 35;      Materiali di consumo;822,07;
29;COSTI PER SERVIZI;6.347,62;
29 / 5;   COSTI PER SERVIZI (INDUSTRIALI);332,65;
29 / 5 / 13;      Acqua e gas;332,65;
29 / 15;   COSTI PER SERVIZI (GENERALI);6.014,97;
29 / 15 / 24;      Manut./ripar.su altri beni propri;120,45;
29 / 15 / 47;      Spese bancarie;44,32;
29 / 15 / 53;      Servizi amministrativi e contabili;582,82;
29 / 15 / 54;      Servizi e prestazioni rese da prof;927,16;
29 / 15 / 55;      Spese per consulenza del lavoro;2.486,70;
29 / 15 / 69;      Altre Spese condominiali ded.;558,12;
29 / 15 / 81;      Altre spese deducibili;9,00;
29 / 15 / 1003;      Servizi di sorveglianza;270,00;
29 / 15 / 1005;      Servizi raccolta e smalt.rifiuti;1.016,40;
31;COSTI PER GODIMENTO BENI DI TERZI;9.092,00;
31 / 5;   LEASING,LOCAZIONI,NOLEGGI,LICENZE;9.092,00;
31 / 5 / 1;      Locazione stabilimenti;8.804,00;
31 / 5 / 24;      Noleggi attrezzature ed altri beni;288,00;
33;COSTI PER IL PERSONALE;74.571,68;
33 / 5;   SALARI E STIPENDI;47.604,00;
33 / 5 / 3;      Salari operai;47.604,00;
33 / 10;   ONERI SOCIALI;26.967,68;
33 / 10 / 4;      Oneri sociali per operai;697,16;
33 / 10 / 1001;      Contributi dipendenti;26.270,52;
38;ONERI DIVERSI DI GESTIONE;189,52;
38 / 5;   ONERI DIVERSI DI GESTIONE;189,52;
38 / 5 / 9;      Imposta di registro;60,00;
38 / 5 / 28;      Diritti camerali (CCIAA);129,52;
44;RICAVI DELLE VENDITE E DELLE PREST.;;97.741,50
44 / 15;   RICAVI DELLE PRESTAZIONI;;97.741,50
44 / 15 / 1;      Prestazioni di servizi Italia;;97.741,50
