27;COSTI MAT.PRIME,SUSS.,CONSUMO,MERCI;1.543,39;
27 / 5;   ACQUISTI DIVERSI;1.543,39;
27 / 5 / 34;      Acquisti vari deducibili;721,32;
27 / 5 / 35;      Materiali di consumo;822,07;
29;COSTI PER SERVIZI;7.205,22;
29 / 5;   COSTI PER SERVIZI (INDUSTRIALI);332,65;
29 / 5 / 13;      Acqua e gas;332,65;
29 / 15;   COSTI PER SERVIZI (GENERALI);6.872,57;
29 / 15 / 24;      Manut./ripar.su altri beni propri;120,45;
29 / 15 / 47;      Spese bancarie;44,32;
29 / 15 / 53;      Servizi amministrativi e contabili;582,82;
29 / 15 / 54;      Servizi e prestazioni rese da prof;927,16;
29 / 15 / 55;      Spese per consulenza del lavoro;3.344,30;
29 / 15 / 69;      Altre Spese condominiali ded.;558,12;
29 / 15 / 81;      Altre spese deducibili;9,00;
29 / 15 / 1003;      Servizi di sorveglianza;270,00;
29 / 15 / 1005;      Servizi raccolta e smalt.rifiuti;1.016,40;
31;COSTI PER GODIMENTO BENI DI TERZI;9.092,00;
31 / 5;   LEASING,LOCAZIONI,NOLEGGI,LICENZE;9.092,00;
31 / 5 / 1;      Locazione stabilimenti;8.804,00;
31 / 5 / 24;      Noleggi attrezzature ed altri beni;288,00;
33;COSTI PER IL PERSONALE;88.315,65;
33 / 5;   SALARI E STIPENDI;60.090,00;
33 / 5 / 3;      Salari operai;60.090,00;
33 / 10;   ONERI SOCIALI;28.225,65;
33 / 10 / 4;      Oneri sociali per operai;697,16;
33 / 10 / 1001;      Contributi dipendenti;27.528,49;
38;ONERI DIVERSI DI GESTIONE;189,52;
38 / 5;   ONERI DIVERSI DI GESTIONE;189,52;
38 / 5 / 9;      Imposta di registro;60,00;
38 / 5 / 28;      Diritti camerali (CCIAA);129,52;
44;RICAVI DELLE VENDITE E DELLE PREST.;;114.527,50
44 / 15;   RICAVI DELLE PRESTAZIONI;;114.527,50
44 / 15 / 1;      Prestazioni di servizi Italia;;114.527,50
