47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;0,00;420837,48
47.01;VENDITE PRODOTTI FINITI E MERCI;0,00;160713,87
47.01.03;Vendita merci;0,00;160713,87
47.07;CORRISPETTIVI;0,00;260055,61
47.07.01;Corrispettivi;0,00;260055,61
47.09;RICAVI ACCESSORI DI VENDITA;0,00;68,00
47.09.03;Rivalsa spese di incasso;0,00;68,00
53;ALTRI RICAVI E PROVENTI;98,24;0,00
53.01;PROVENTI DIVERSI;98,24;0,00
53.01.51;Altri ricavi e proventi;100,00;0,00
53.01.51.01;Altri ricavi e proventi imponibili;100,00;0,00
55;ACQUISTI DI BENI;135377,58;0,00
55.01;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;133886,82;0,00
55.01.01;Acquisti materie prime;106701,86;0,00
55.01.05;Acquisti materiali di consumo;5847,47;0,00
55.01.07;Acquisti merci per la rivendita;12926,32;0,00
55.01.09;Confezioni e imballi;8154,07;0,00
55.01.19;Oneri accessori su acquisti;257,10;0,00
55.07;ACQUISTI DIVERSI;1490,76;0,00
55.07.03;Attrezzatura minuta;166,16;0,00
55.07.11;Materiali manutenz.impianti e macchinari;157,00;0,00
55.07.23;Indumenti da lavoro;48,70;0,00
55.07.51;Materiale vario di consumo;1118,90;0,00
57;ACQUISTI DI SERVIZI;17828,54;0,00
57.01;SERVIZI PER LA PRODUZIONE;136,22;0,00
57.01.01;Lavorazioni di terzi;10,40;0,00
57.01.01.01;Lavorazioni di terzi;10,40;0,00
57.01.51;Altri servizi per la produzione;125,82;0,00
57.01.51.01;Altri servizi per la produzione;125,82;0,00
57.09;COSTI PER UTENZE;16813,25;0,00
57.09.01;Spese telefoniche ordinarie;646,78;0,00
57.09.01.01;Spese telefoniche ordinarie;646,78;0,00
57.09.13;Energia elettrica;6728,32;0,00
57.09.13.01;Energia elettrica;6728,32;0,00
57.09.17;Acqua potabile;878,36;0,00
57.09.19;Gas;1959,79;0,00
57.09.21;Pulizia locali;6600,00;0,00
57.11;MANUTENZIONI MACCHINARI E ATTREZZATURE;879,07;0,00
57.11.01;Spese manut.impianti e macchin.propri;55,00;0,00
57.11.03;Spese manutenzione attrezzature proprie;56,00;0,00
57.11.09;Canoni manut.impianti e macchin.propri;595,00;0,00
57.11.11;Canoni manutenzione attrezzature proprie;173,07;0,00
