27;COSTI MAT.PRIME,SUSS.,CONSUMO,MERCI;127,08;
27 / 5;   ACQUISTI DIVERSI;127,08;
27 / 5 / 16;      Materiale di cancelleria;43,14;
27 / 5 / 30;      Acqu.beni inf. a 516,46 Euro ded.;55,72;
27 / 5 / 34;      Acquisti vari deducibili;28,22;
29;COSTI PER SERVIZI;7.556,77;
29 / 5;   COSTI PER SERVIZI (INDUSTRIALI);414,99;
29 / 5 / 19;      Energia elettrica;414,99;
29 / 15;   COSTI PER SERVIZI (GENERALI);7.141,78;
29 / 15 / 7;      Assicurazioni diverse;560,00;
29 / 15 / 29;      Spese condom.immob.strum.di propr.;141,00;
29 / 15 / 45;      Spese telefoniche (deducibili 80%);337,21;
29 / 15 / 53;      Servizi amministrativi e contabili;1.646,31;
29 / 15 / 54;      Servizi e prestazioni rese da prof;1.982,50;
29 / 15 / 72;      Spese manut.immob.uso prom. (50%);400,00;
29 / 15 / 76;      Spese telef.e altre utenze ded.50%;65,16;
29 / 15 / 81;      Altre spese deducibili;141,50;
29 / 15 / 84;      Altre spese documentate inded.;29,95;
29 / 15 / 85;      Spese convegni e corsi (ded. 100%);82,00;
29 / 15 / 92;      Assicur.autovetture (ded. 20%);633,00;
29 / 15 / 105;      Carbur./lubrific.autovett.(ded.20%;577,15;
29 / 15 / 1010;      Servizi e prest.rese da prof.Minim;546,00;
38;ONERI DIVERSI DI GESTIONE;831,18;
38 / 5;   ONERI DIVERSI DI GESTIONE;831,18;
38 / 5 / 11;      Tassa raccolta rifiuti;30,00;
38 / 5 / 17;      Altre imposte indeducibili;123,26;
38 / 5 / 23;      Contributi assoc.sind.e di categ.;200,00;
38 / 5 / 24;      Valori bollati;16,00;
38 / 5 / 40;      Tasse di poss.autovett.(ded.20%);150,92;
38 / 5 / 47;      IMU immobili strument.(ded.60%);311,00;
44;RICAVI DELLE VENDITE E DELLE PREST.;;27.394,60
44 / 15;   RICAVI DELLE PRESTAZIONI;;27.394,60
44 / 15 / 1;      Prestazioni di servizi Italia;;27.394,60
