47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;;38716,42
47.01;VENDITE PRODOTTI FINITI E MERCI;;392
47.01.11;Aggio su beni di monopolio;;392
47.07;CORRISPETTIVI;;38324,42
47.07.01;Corrispettivi;;38324,42
55;ACQUISTI DI BENI;15145,94;
55.01;ACQ. PER PRODUZ.DI BENI E PER RIVENDITA;0,77;
55.01.19;Oneri accessori su acquisti;0,77;
55.03;ACQUISTI PER LA PRODUZIONE DI SERVIZI;15361,66;
55.03.01;Acq.beni materiali per produz. servizi;15361,66;
55.05;VARIAZIONI ATTIVE SU ACQUISTI;-294,00;
55.05.01;Sconti su acquisti;-294,00;
55.07;ACQUISTI DIVERSI;77,51;
55.07.03;Attrezzatura minuta;77,51;
57;ACQUISTI DI SERVIZI;985,82;
57.01;SERVIZI PER LA PRODUZIONE;60,00;
57.01.51;Altri servizi per la produzione;60,00;
57.09;COSTI PER UTENZE;925,82;
57.09.13;Energia elettrica;590,94;
57.09.17;Acqua potabile;334,88;
61;PRESTAZIONI DI LAVORO NON DIPENDENTE;581,25;
61.01;PRESTAZIONI DI LAVORO AUTONOMO;581,25;
61.01.03;Consulenze tecniche;581,25;
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;1034,37;
63.05;SPESE AMMINISTRATIVE E GENERALI;1034,37;
63.05.07;Servizi contabili di terzi;25,33;
63.05.11;Altre spese amministrative;39,00;
63.05.15;Premi di assicurazioni obbligatorie;854,76;
63.05.17;Servizi di vigilanza;115,28;
65;COSTI PER GODIMENTO BENI DI TERZI;1926,00;
65.01;GESTIONE IMMOBILI;1926,00;
65.01.05;Canoni locazione immobili;1926,00;
67;COSTI PERSONALE DIPENDENTE;6971,90;
67.01;COSTI PERSONALE DIPENDENTE;6971,90;
67.01.01;Retribuzioni lorde;5306,26;
67.01.03;Contributi INPS;1615,78;
67.01.09;Contrib.altri enti previdenz./assistenz.;49,86;
71;ONERI DIVERSI DI GESTIONE;497,71;
71.01;ONERI TRIBUTARI;106,03;
71.01.07;Imposta di registro e concess. govern.;106,03;
71.03;ALTRI COSTI DI ESERCIZIO;391,68;
71.03.11;Abbonamenti, libri e pubblicazioni;391,68;
80;AMMORTAMENTI;2077,60;
80.01;AMMORTAMENTI IMMOBILIZZAZ.IMMATERIALI;1909,52;
80.01.19;Amm.to avviamento;1746,00;
80.01.27;Amm.to spese di manut.su beni di terzi;57,58;
80.01.53;Amm.to altre spese pluriennali;105,94;
80.03;AMMORTAMENTI IMMOBILIZZAZIONI MATERIALI;168,08;
80.03.29;Amm.to ordin.altri impianti e macchinari;62,92;
80.03.31;Amm.ord.attrez.spec.industr.comm.agric.;67,07;
80.03.35;Amm.to ordinario mobili e arredi;38,09;
