27;COSTI MAT.PRIME,SUSS.,CONSUMO,MERCI;116,41;
27 / 5;   ACQUISTI DIVERSI;116,41;
27 / 5 / 35;      Materiali di consumo;116,41;
29;COSTI PER SERVIZI;1.850,92;
29 / 5;   COSTI PER SERVIZI (INDUSTRIALI);492,27;
29 / 5 / 11;      Energia elettrica uso industriale;143,51;
29 / 5 / 16;      Servizi vari deducibili;7,90;
29 / 5 / 1001;      Gas;340,86;
29 / 15;   COSTI PER SERVIZI (GENERALI);1.358,65;
29 / 15 / 53;      Servizi amministrativi e contabili;1.073,28;
29 / 15 / 55;      Spese per consulenza del lavoro;101,20;
29 / 15 / 98;      Pedaggi autostradali (ded.20%);85,98;
29 / 15 / 105;      Carbur./lubrific.autovett.(ded.20%;98,19;
44;RICAVI DELLE VENDITE E DELLE PREST.;;15.940,03
44 / 15;   RICAVI DELLE PRESTAZIONI;;15.940,03
44 / 15 / 1;      Prestazioni di servizi Italia;;15.940,03
