27;COSTI MAT.PRIME,SUSS.,CONSUMO,MERCI;4.117,90;
27 / 5;   ACQUISTI DIVERSI;4.117,90;
27 / 5 / 20;      Indumenti di lavoro;178,00;
27 / 5 / 34;      Acquisti vari deducibili;460,72;
27 / 5 / 1005;      Mat.prime, di consumo e merci;3.479,18;
29;COSTI PER SERVIZI;6.042,04;
29 / 5;   COSTI PER SERVIZI (INDUSTRIALI);1.433,62;
29 / 5 / 11;      Energia elettrica uso industriale;923,56;
29 / 5 / 12;      Spese di riscaldamento;282,63;
29 / 5 / 13;      Acqua e gas;227,43;
29 / 15;   COSTI PER SERVIZI (GENERALI);4.608,42;
29 / 15 / 25;      Manut./ripar.su altri beni di terz;530,00;
29 / 15 / 47;      Spese bancarie;319,35;
29 / 15 / 49;      Commiss.per servizi di incasso;215,48;
29 / 15 / 53;      Servizi amministrativi e contabili;3.408,59;
29 / 15 / 81;      Altre spese deducibili;100,00;
29 / 15 / 1005;      Servizi raccolta e smalt.rifiuti;35,00;
31;COSTI PER GODIMENTO BENI DI TERZI;8.223,33;
31 / 5;   LEASING,LOCAZIONI,NOLEGGI,LICENZE;8.223,33;
31 / 5 / 14;      Noleggi deducibili 80%;573,33;
31 / 5 / 1001;      Locazione fondo commerciale;7.650,00;
33;COSTI PER IL PERSONALE;17.914,61;
33 / 5;   SALARI E STIPENDI;10.788,41;
33 / 5 / 1001;      Stipendi e salari;10.788,41;
33 / 10;   ONERI SOCIALI;7.126,20;
33 / 10 / 4;      Oneri sociali per operai;219,82;
33 / 10 / 1001;      Contributi dipendenti;6.906,38;
38;ONERI DIVERSI DI GESTIONE;439,03;
38 / 5;   ONERI DIVERSI DI GESTIONE;439,03;
38 / 5 / 16;      Altre imposte deducibili;300,94;
38 / 5 / 18;      Spese di cancelleria;12,00;
38 / 5 / 35;      Altri oneri di gestione ded.;126,09;
44;RICAVI DELLE VENDITE E DELLE PREST.;;34.108,14
44 / 5;   RICAVI DELLE VENDITE ITALIA;;34.108,14
44 / 5 / 11;      Corrispettivi;;34.108,14
